setting_id,signal,design_type,rho_within,target_snr,sigma2,replicate_id,method,status,converged,fit_attempts,kappa_null_mean,kappa_signal_mean,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error,mse_null,mse_signal,mse_overall,avg_ci_length,coverage_95,lpd_test
1,concentrated,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,True,1,,,4.1258545000018785,1.0009557387065977,2607.976215219161,,,0.001703507358454678,0.013805678035081875,0.0065443756291055566,0.34984509768230465,1.0,-1.3419746165621471
1,concentrated,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,True,1,,,4.017295300000114,1.0007613167102727,2657.996524880587,,,0.001172371488559245,0.018450162889805784,0.008083488049057858,0.3426323948854348,0.96,-1.4663674312098065
1,concentrated,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,True,1,,,3.9864536999957636,1.0009935174334468,2455.647349682486,,,0.0036484773851923253,0.015819667457070984,0.008516953413943788,0.35878347985028985,0.96,-1.6440876462408376
1,concentrated,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,True,1,,,4.039439699990908,1.000573721275191,2589.206547457071,,,0.004283444404890706,0.019021770172473137,0.01017877471192368,0.32184339279603885,0.92,-1.7205927983346436
1,concentrated,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,True,1,,,4.014001100003952,1.00111413898306,4351.819408469741,,,0.0005085797590539108,0.014236916467446186,0.005999914442410821,0.33471642274251656,0.96,-1.4527181142542247
1,concentrated,orthonormal,0.0,2.0,1.0,6,GHS_plus,ok,True,1,,,3.996742899995297,1.0006877190970682,3046.5119936880124,,,0.0033805171504650163,0.008635974205479437,0.005482699972470785,0.36657097254172966,0.96,-1.4546891379058486
1,concentrated,orthonormal,0.0,2.0,1.0,7,GHS_plus,ok,True,1,,,4.082128599999123,1.0017767760143255,2395.7653880147905,,,0.0012228432464561013,0.008732421918809106,0.004226674715397302,0.3378486032515557,1.0,-1.5248375050484584
1,concentrated,orthonormal,0.0,2.0,1.0,8,GHS_plus,ok,True,1,,,4.036724599995068,1.0011604948423922,2479.7262305356385,,,0.003088045864946288,0.012943946601851447,0.007030406159708351,0.3365655029884186,1.0,-1.4701824576685607
1,concentrated,orthonormal,0.0,2.0,1.0,9,GHS_plus,ok,True,1,,,4.230539800002589,1.0022214234713442,4599.033594247978,,,0.00024574979601362743,0.004349526951397944,0.001887260658167354,0.27647993266093907,1.0,-1.5470261850176281
1,concentrated,orthonormal,0.0,2.0,1.0,10,GHS_plus,ok,True,1,,,4.17588359999354,1.001790817483289,4273.542572857632,,,0.0005727546495484851,0.008045997747050617,0.0035620518885493375,0.3537915847365955,1.0,-1.620625262981358
2,distributed,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,True,1,,,4.0404578000016045,1.0021593626133107,1555.7880729580982,,,0.00033825425331949783,0.0012324418718636825,0.0004097892628030327,0.21381371329918605,1.0,-1.3336012723287052
2,distributed,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,True,1,,,4.034478200002923,1.0014096023419141,2266.0427170039056,,,0.00012867338950632497,0.014504533626255879,0.0012787422084462891,0.19150635551073145,1.0,-1.5334199680573426
2,distributed,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,True,1,,,4.043054199995822,1.0019730502980302,1544.5627553205074,,,0.0010255611107574019,0.011328297359936275,0.0018497800106917117,0.2571712605977311,1.0,-1.3809097994829707
2,distributed,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,True,1,,,4.038792999999714,1.003092146022109,2037.8974953509749,,,0.00031763872851387815,0.005934537120648778,0.00076699059988467,0.20909869936963196,1.0,-1.8772903481410637
2,distributed,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,True,1,,,4.0078395000018645,1.0012167946634263,3194.371317388499,,,0.00015861798172593907,0.013950451265357055,0.0012619646444164284,0.19754487855494116,1.0,-1.3601955455617987
2,distributed,orthonormal,0.0,2.0,1.0,6,GHS_plus,ok,True,1,,,3.966327399990405,1.004374964249004,1964.6517206390167,,,0.002309879265752794,0.013660881321524624,0.0032179594302145396,0.22871412382306677,1.0,-1.698260307290236
2,distributed,orthonormal,0.0,2.0,1.0,7,GHS_plus,ok,True,1,,,3.9860693999944488,1.0014550545647378,1979.0238921719977,,,0.0002627265160412439,0.004810348223890524,0.0006265362526691863,0.1866295701035866,1.0,-1.499581799731637
2,distributed,orthonormal,0.0,2.0,1.0,8,GHS_plus,ok,True,1,,,4.022702399990521,1.0033625276401723,1767.5144073410788,,,0.0006757240821739041,0.013228423619145582,0.0016799400451316384,0.2546349155140375,1.0,-1.3727422738495327
2,distributed,orthonormal,0.0,2.0,1.0,9,GHS_plus,ok,True,1,,,4.023724500002572,1.0039525396948157,1677.3543813256117,,,0.0007687679840836168,0.026723987845846946,0.0028451855730246833,0.2317900202591658,0.96,-1.3333578668843462
2,distributed,orthonormal,0.0,2.0,1.0,10,GHS_plus,ok,True,1,,,4.0288044000044465,1.0039737901495354,1325.6766651262262,,,0.003158502386272219,0.04910214109317653,0.006833993482824565,0.26967539671657115,0.96,-1.437345874533785
