signal,method,n,ok_rate,conv_rate,attempts_mean,ess_median,ess_p10,rhat_median,runtime_median
concentrated,GHS_plus,10,1.0,1.0,1.0,2632.986370049874,2449.6591535157163,1.0010538282082533,4.038082149992988
distributed,GHS_plus,10,1.0,1.0,1.0,1866.0830639900478,1522.6741463010794,1.0026257543177097,4.026264450003509
