p_g,tau_eval,alpha_kappa,beta_kappa,median_post_mean_kappa,iqr_post_mean_kappa_low,iqr_post_mean_kappa_high,mean_tail_prob_eps_0_1,mean_tail_prob_eps_0_2,mean_tail_prob
10,0.5,0.5,1.0,0.2997052083309073,0.28735310325638236,0.3120573134054322,0.6225535158911873,0.4984467499398101,0.6225535158911873
20,0.5,0.5,1.0,0.28188492805939214,0.2789916660746755,0.2847781900441088,0.5980250524965086,0.47078919231149563,0.5980250524965086
50,0.5,0.5,1.0,0.21649918574955895,0.21038677545398307,0.22261159604513484,0.49434624875384536,0.3628899399699449,0.49434624875384536
100,0.5,0.5,1.0,0.09176279376267343,0.0880796890039628,0.09544589852138406,0.2438174915762642,0.13950321973095653,0.2438174915762642
200,0.5,0.5,1.0,0.21646395394037965,0.13396100664734423,0.29896690123341507,0.4721965565690919,0.36158280182946706,0.4721965565690919
500,0.5,0.5,1.0,0.3752212363712324,0.3373999620918612,0.41304251065060354,0.8550658006763558,0.6891087383580812,0.8550658006763558
1000,0.5,0.5,1.0,0.020706097821171342,0.01665004873647422,0.024762146905868462,0.038915555600077735,0.004595315606548613,0.038915555600077735
2000,0.5,0.5,1.0,0.036381910177272006,0.033535491415827096,0.039228328938716917,0.07716235072517978,0.003995198626854511,0.07716235072517978
