run_name,experiment,status,duration_sec,params,outputs,error
run_001,exp2,dry_run,2.00001522898674e-07,"{""bayes_min_chains"": 2, ""enforce_bayes_convergence"": true, ""group_sizes"": [10, 10, 10, 10, 10], ""n_jobs"": 2, ""n_test"": 30, ""n_train"": 100, ""repeats"": 12, ""rho_between"": 0.05, ""rho_ref"": 0.2, ""rho_within"": 0.3, ""sampler_backend"": ""nuts"", ""save_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_234418Z\\runs\\run_001"", ""seed"": 20260415, ""until_bayes_converged"": true, ""xi_ratios"": [0.0, 1.0, 2.0, 5.0, 10.0]}",{},
run_002,exp2,dry_run,2.999986463692039e-07,"{""bayes_min_chains"": 2, ""enforce_bayes_convergence"": true, ""group_sizes"": [10, 10, 10, 10, 10], ""n_jobs"": 2, ""n_test"": 30, ""n_train"": 100, ""repeats"": 12, ""rho_between"": 0.05, ""rho_ref"": 0.3, ""rho_within"": 0.3, ""sampler_backend"": ""nuts"", ""save_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_234418Z\\runs\\run_002"", ""seed"": 20260415, ""until_bayes_converged"": true, ""xi_ratios"": [0.0, 1.0, 2.0, 5.0, 10.0]}",{},
run_003,exp2,dry_run,2.00001522898674e-07,"{""bayes_min_chains"": 2, ""enforce_bayes_convergence"": true, ""group_sizes"": [10, 10, 10, 10, 10], ""n_jobs"": 2, ""n_test"": 30, ""n_train"": 100, ""repeats"": 12, ""rho_between"": 0.05, ""rho_ref"": 0.4, ""rho_within"": 0.3, ""sampler_backend"": ""nuts"", ""save_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_234418Z\\runs\\run_003"", ""seed"": 20260415, ""until_bayes_converged"": true, ""xi_ratios"": [0.0, 1.0, 2.0, 5.0, 10.0]}",{},
run_004,exp2,dry_run,2.00001522898674e-07,"{""bayes_min_chains"": 2, ""enforce_bayes_convergence"": true, ""group_sizes"": [10, 10, 10, 10, 10], ""n_jobs"": 2, ""n_test"": 30, ""n_train"": 100, ""repeats"": 12, ""rho_between"": 0.05, ""rho_ref"": 0.5, ""rho_within"": 0.3, ""sampler_backend"": ""nuts"", ""save_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_234418Z\\runs\\run_004"", ""seed"": 20260415, ""until_bayes_converged"": true, ""xi_ratios"": [0.0, 1.0, 2.0, 5.0, 10.0]}",{},
