p0_true,replicate_id,variant,method_type,backend,status,converged,fit_attempts,tau0_oracle,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error,mse_overall,mse_signal,mse_null,bridge_ratio_mean,bridge_ratio_min,bridge_ratio_max,bridge_ratio_p95,bridge_ratio_violations,bridge_ratio_null_mean,bridge_ratio_signal_mean,bridge_ratio_by_group
15,1,calibrated,GR_RHS,nuts,error,False,2,0.04285714285714286,7.351276500005042,1218339.625,1.0006253908692933,1.0,ConvergenceError: GR_RHS did not converge after 2 attempt(s),,,,,,,,,,,
15,1,fixed_10x,GR_RHS,nuts,error,False,2,0.04285714285714286,6.533520299984957,9665899.0,1.000625390869297,1.0,ConvergenceError: GR_RHS did not converge after 2 attempt(s),,,,,,,,,,,
15,1,oracle,GR_RHS,nuts,error,False,2,0.04285714285714286,6.105727399990428,4564484.0,1.0006253908693916,1.0,ConvergenceError: GR_RHS did not converge after 2 attempt(s),,,,,,,,,,,
15,1,RHS_oracle,RHS,nuts,ok,True,2,0.04285714285714286,25.50918670000101,1.009578695051273,612.5859038049564,0.0,,0.055990717376020765,0.11548207336408882,0.030494421952563026,,,,,,,,
