p_g,tau_eval,alpha_kappa,beta_kappa,median_post_mean_kappa,iqr_post_mean_kappa_low,iqr_post_mean_kappa_high,mean_tail_prob_eps_0_1,mean_tail_prob_eps_0_2,mean_tail_prob
10,0.5,0.5,1.0,0.29299883625751477,0.2697464786739948,0.3234316333586539,0.6228037929683146,0.49975907922379015,0.6228037929683146
20,0.5,0.5,1.0,0.27768180279968624,0.243738207777033,0.317833319619108,0.5973162584918786,0.472687319750193,0.5973162584918786
50,0.5,0.5,1.0,0.24110419281252815,0.19446851596853176,0.3095605413551496,0.5541853166827562,0.42767433498801133,0.5541853166827562
100,0.5,0.5,1.0,0.19003244937073924,0.12993526884498835,0.27302054490952044,0.47251453831101126,0.3455446706719216,0.47251453831101126
200,0.5,0.5,1.0,0.1296782612386959,0.07017121487173808,0.2188287208262586,0.39296096730191915,0.26760252447302046,0.39296096730191915
500,0.5,0.5,1.0,0.05305536771057889,0.028296307713798367,0.1049869537190336,0.23897022426228684,0.12327404567518865,0.23897022426228684
1000,0.5,0.5,1.0,0.02527754730668142,0.01523581172330357,0.04625132096304412,0.11644435953862921,0.03495902054691639,0.11644435953862921
2000,0.5,0.5,1.0,0.013782264672822779,0.00851217442891416,0.025490318792337936,0.037626925529456415,0.0034969992428117453,0.037626925529456415
