run_name,experiment,status,duration_sec,params,outputs,error
run_001,exp2,ok,142.64284220000263,"{""bayes_min_chains"": 1, ""enforce_bayes_convergence"": false, ""group_sizes"": [30, 20, 15, 10, 5, 5], ""n_jobs"": 2, ""n_test"": 50, ""n_train"": 300, ""repeats"": 4, ""rho_between"": 0.05, ""rho_ref"": 0.2, ""rho_within"": 0.3, ""sampler_backend"": ""nuts"", ""save_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001"", ""seed"": 20260415, ""until_bayes_converged"": false, ""xi_ratios"": [0.0, 0.5, 1.0, 2.0, 6.0, 10.0]}","{""fig2a_method_comparison"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\figures\\fig2a_method_comparison.png"", ""fig2b_kappa_by_group"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\figures\\fig2b_kappa_by_group.png"", ""kappa_realizations"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\kappa_realizations.csv"", ""kappa_summary_by_group"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\kappa_summary_by_group.csv"", ""latest_run"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\latest_run.json"", ""meta"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\exp2_meta.json"", ""paired_deltas"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\paired_deltas.csv"", ""raw"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\raw_results.csv"", ""run_analysis_json"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\runs\\20260423_003222\\run_analysis.json"", ""run_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\runs\\20260423_003222"", ""run_manifest"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\runs\\20260423_003222\\run_manifest.json"", ""run_summary_md"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\runs\\20260423_003222\\run_summary.md"", ""run_summary_table"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\runs\\20260423_003222\\run_summary_table.csv"", ""run_timestamp"": ""20260423_003222"", ""summary"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\summary.csv"", ""summary_paired"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\results\\exp2_group_separation\\summary_paired.csv"", ""table"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\tables\\table_group_separation.csv"", ""table_kappa_group_separation"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_001\\tables\\table_kappa_group_separation.csv""}",
run_002,exp2,ok,127.4493595999993,"{""bayes_min_chains"": 1, ""enforce_bayes_convergence"": false, ""group_sizes"": [30, 20, 15, 10, 5, 5], ""n_jobs"": 2, ""n_test"": 50, ""n_train"": 300, ""repeats"": 4, ""rho_between"": 0.05, ""rho_ref"": 0.3, ""rho_within"": 0.3, ""sampler_backend"": ""nuts"", ""save_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002"", ""seed"": 20260415, ""until_bayes_converged"": false, ""xi_ratios"": [0.0, 0.5, 1.0, 2.0, 6.0, 10.0]}","{""fig2a_method_comparison"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\figures\\fig2a_method_comparison.png"", ""fig2b_kappa_by_group"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\figures\\fig2b_kappa_by_group.png"", ""kappa_realizations"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\kappa_realizations.csv"", ""kappa_summary_by_group"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\kappa_summary_by_group.csv"", ""latest_run"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\latest_run.json"", ""meta"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\exp2_meta.json"", ""paired_deltas"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\paired_deltas.csv"", ""raw"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\raw_results.csv"", ""run_analysis_json"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\runs\\20260423_003429\\run_analysis.json"", ""run_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\runs\\20260423_003429"", ""run_manifest"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\runs\\20260423_003429\\run_manifest.json"", ""run_summary_md"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\runs\\20260423_003429\\run_summary.md"", ""run_summary_table"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\runs\\20260423_003429\\run_summary_table.csv"", ""run_timestamp"": ""20260423_003429"", ""summary"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\summary.csv"", ""summary_paired"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\results\\exp2_group_separation\\summary_paired.csv"", ""table"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\tables\\table_group_separation.csv"", ""table_kappa_group_separation"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_002\\tables\\table_kappa_group_separation.csv""}",
run_003,exp2,ok,150.31928139999945,"{""bayes_min_chains"": 1, ""enforce_bayes_convergence"": false, ""group_sizes"": [30, 20, 15, 10, 5, 5], ""n_jobs"": 2, ""n_test"": 50, ""n_train"": 300, ""repeats"": 4, ""rho_between"": 0.05, ""rho_ref"": 0.4, ""rho_within"": 0.3, ""sampler_backend"": ""nuts"", ""save_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003"", ""seed"": 20260415, ""until_bayes_converged"": false, ""xi_ratios"": [0.0, 0.5, 1.0, 2.0, 6.0, 10.0]}","{""fig2a_method_comparison"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\figures\\fig2a_method_comparison.png"", ""fig2b_kappa_by_group"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\figures\\fig2b_kappa_by_group.png"", ""kappa_realizations"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\kappa_realizations.csv"", ""kappa_summary_by_group"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\kappa_summary_by_group.csv"", ""latest_run"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\latest_run.json"", ""meta"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\exp2_meta.json"", ""paired_deltas"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\paired_deltas.csv"", ""raw"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\raw_results.csv"", ""run_analysis_json"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\runs\\20260423_003659\\run_analysis.json"", ""run_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\runs\\20260423_003659"", ""run_manifest"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\runs\\20260423_003659\\run_manifest.json"", ""run_summary_md"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\runs\\20260423_003659\\run_summary.md"", ""run_summary_table"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\runs\\20260423_003659\\run_summary_table.csv"", ""run_timestamp"": ""20260423_003659"", ""summary"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\summary.csv"", ""summary_paired"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\results\\exp2_group_separation\\summary_paired.csv"", ""table"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\tables\\table_group_separation.csv"", ""table_kappa_group_separation"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_003\\tables\\table_kappa_group_separation.csv""}",
run_004,exp2,ok,171.09666920000018,"{""bayes_min_chains"": 1, ""enforce_bayes_convergence"": false, ""group_sizes"": [30, 20, 15, 10, 5, 5], ""n_jobs"": 2, ""n_test"": 50, ""n_train"": 300, ""repeats"": 4, ""rho_between"": 0.05, ""rho_ref"": 0.5, ""rho_within"": 0.3, ""sampler_backend"": ""nuts"", ""save_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004"", ""seed"": 20260415, ""until_bayes_converged"": false, ""xi_ratios"": [0.0, 0.5, 1.0, 2.0, 6.0, 10.0]}","{""fig2a_method_comparison"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\figures\\fig2a_method_comparison.png"", ""fig2b_kappa_by_group"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\figures\\fig2b_kappa_by_group.png"", ""kappa_realizations"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\kappa_realizations.csv"", ""kappa_summary_by_group"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\kappa_summary_by_group.csv"", ""latest_run"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\latest_run.json"", ""meta"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\exp2_meta.json"", ""paired_deltas"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\paired_deltas.csv"", ""raw"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\raw_results.csv"", ""run_analysis_json"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\runs\\20260423_003950\\run_analysis.json"", ""run_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\runs\\20260423_003950"", ""run_manifest"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\runs\\20260423_003950\\run_manifest.json"", ""run_summary_md"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\runs\\20260423_003950\\run_summary.md"", ""run_summary_table"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\runs\\20260423_003950\\run_summary_table.csv"", ""run_timestamp"": ""20260423_003950"", ""summary"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\summary.csv"", ""summary_paired"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\results\\exp2_group_separation\\summary_paired.csv"", ""table"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\tables\\table_group_separation.csv"", ""table_kappa_group_separation"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222959Z\\runs\\run_004\\tables\\table_kappa_group_separation.csv""}",
