p_g,median_ratio_R,iqr_ratio_R_low,iqr_ratio_R_high,mean_window_prob
20,0.7448231407550397,0.681622751223671,0.8380350426836717,0.9357430607216141
50,0.985440871840811,0.9161723545363987,1.0803794990752462,0.9310399027561833
100,1.2304332659785961,1.086360710304673,1.3287705182831135,0.5541454192923809
200,1.5513640161860818,1.1710835467553773,1.6148667831154473,0.28729902711928196
500,1.9679778573769027,1.2818925164734805,2.0934421657064304,0.08949390931888355
