setting_id,alpha_kappa,beta_kappa,status,converged,fit_attempts,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error
1,0.5,0.5,ok,True,1,55.410441300002276,1.0116403102874756,390.9811746501005,0.0065625,
1,0.5,1.0,error,False,6,33.211376099992776,36753.26171875,2.0001250115486666,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s)
1,1.0,1.0,error,False,6,42.269794099993305,62765.93359375,2.000125007841418,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s)
1,1.0,3.0,ok,True,1,37.845680400001584,1.0093677043914795,345.6056666628749,0.000625,
1,2.0,5.0,error,False,6,39.730192799994256,60277.39453125,2.000125016413023,1.0,ConvergenceError: GR_RHS did not converge after 6 attempt(s)
2,0.5,0.5,ok,True,1,95.14554450000287,1.009322166442871,531.674122654824,0.008125,
2,0.5,1.0,ok,True,1,66.63203750000685,1.0051822662353516,704.2678504751677,0.00625,
2,1.0,1.0,ok,True,1,92.09620780000114,1.013169765472412,378.80887973268585,0.000625,
2,1.0,3.0,ok,True,1,45.16075140000612,1.0057344436645508,505.3555685360433,0.00125,
2,2.0,5.0,ok,True,1,41.557149400003254,1.0043023824691772,433.62610299737315,0.0,
