p_g,signal_type,ratio_median,ratio_iqr_low,ratio_iqr_high
20.0,distributed,0.5307296294064026,0.5301220107278655,0.5314042254120758
50.0,distributed,0.6730803974696958,0.6722631508070789,0.6734456846214294
20.0,sparse,0.5314755956023189,0.5313561324176799,0.531708610083164
50.0,sparse,0.671109152967684,0.6706471712265312,0.6720992201627377
