tau,rho,xi_inf,p_g,prob_kappa_gt_u0,xi_crit
0.3,0.3,0.01,30.0,0.49438371129563696,0.041284403669724766
0.3,0.3,0.01,60.0,0.5043052084632821,0.041284403669724766
0.3,0.3,0.04,30.0,0.48654727768139827,0.041284403669724766
0.3,0.3,0.04,60.0,0.536474559522629,0.041284403669724766
0.3,0.3,0.05,30.0,0.5001144416042214,0.041284403669724766
0.3,0.3,0.05,60.0,0.5347989650324718,0.041284403669724766
