p_g,median_posterior_mean,mean_posterior_mean,sqrt_pg_times_mean_kappa,mean_tail_prob_M2,mean_tail_prob_M3,mean_tail_prob_M5,mean_beta_post_mean_norm_sq,mean_beta_post_mean_norm_sq_over_sigma2,mean_tail_prob,loglog_slope_global
10.0,0.49999062520938853,0.5001321117046357,1.581556603976406,0.36762154232568045,0.05101794555313752,0.0,0.0010978052806285576,0.0010978052806285576,0.36762154232568045,-0.0002465524254461684
20.0,0.4999967949151821,0.49993393410240605,2.2357725218237605,0.5524139477131282,0.3289448774319923,0.0,0.0017463949253338491,0.0017463949253338491,0.5524139477131282,-0.0002465524254461684
50.0,0.49980035389486777,0.49986473773713425,3.5345774572996276,0.7167930286576513,0.5753189491175899,0.29239933417063124,0.004411677683463455,0.004411677683463455,0.7167930286576513,-0.0002465524254461684
