p_g,tau_eval,alpha_kappa,beta_kappa,median_post_mean_kappa,iqr_post_mean_kappa_low,iqr_post_mean_kappa_high,mean_tail_prob_eps_0_1,mean_tail_prob_eps_0_2,mean_tail_prob
10,0.5,0.5,1.0,0.29263795564763057,0.26879593607347607,0.325211842489152,0.6219645088585203,0.49887780081155,0.6219645088585203
20,0.5,0.5,1.0,0.2790373910499432,0.2446823535592379,0.3220809954788899,0.6015496085950028,0.47714201644826326,0.6015496085950028
50,0.5,0.5,1.0,0.24652393017537433,0.19517252452629263,0.3093301659378388,0.5559022801913459,0.4294442926832016,0.5559022801913459
100,0.5,0.5,1.0,0.19615134080391472,0.135172355038488,0.27682364672647913,0.48180224138544714,0.3540454518241064,0.48180224138544714
200,0.5,0.5,1.0,0.1293160911769193,0.075264237090545,0.2182029511163282,0.3957626197175941,0.2693051037139018,0.3957626197175941
500,0.5,0.5,1.0,0.05230687416068449,0.027971327198476923,0.10169881398815407,0.23585960379388496,0.12142617718571734,0.23585960379388496
1000,0.5,0.5,1.0,0.025620615195386526,0.01509079495773847,0.04669245901276682,0.11718039266791992,0.03533715805677056,0.11718039266791992
2000,0.5,0.5,1.0,0.014479112052087574,0.008729792220098752,0.02637099165635992,0.039298559976515685,0.003733796695540706,0.039298559976515685
5000,0.5,0.5,1.0,0.007506458239760187,0.00480266225493943,0.012399599762205268,0.002182430731116791,1.3213657404081155e-05,0.002182430731116791
