tau_eval,p_g,median_ratio_R,iqr_ratio_R_low,iqr_ratio_R_high,mean_window_prob
0.5,20,0.5287348116134475,0.5049856259238852,0.5524839973030098,0.5341399987438258
0.5,50,0.978012274294753,0.976724320106841,0.979300228482665,0.9415849504660554
0.5,100,1.2555585987122158,1.2494109814290284,1.2617062159954031,0.9886711273190063
0.5,200,1.553271997916189,1.5505451062671538,1.5559988895652244,0.9939453494339796
0.5,500,2.089752851596349,2.0748166819508613,2.1046890212418363,0.281547261444119
1.0,20,0.7134005087233373,0.6982798132941186,0.7285212041525561,0.7961321001650461
1.0,50,1.1092502250859562,1.0645157529774911,1.1539846971944212,0.9803769037013121
1.0,100,1.414660327634974,1.4125542315114434,1.4167664237585047,0.9904531192816267
1.0,200,1.6548811538735433,1.6316678083553267,1.6780944993917601,0.9924228822663352
1.0,500,1.9158613976245487,1.860952357708483,1.9707704375406143,0.5948429644857339
2.0,20,0.4995129759568993,0.4738680585189188,0.5251578933948798,0.5243065967125105
2.0,50,0.96926231781931,0.9289759814636965,1.0095486541749237,0.9952524842318232
2.0,100,1.0613444482134735,1.0371978773157213,1.0854910191112257,0.9998926716518985
2.0,200,1.010858907971057,0.9948014011846543,1.0269164147574599,0.9998730595860443
2.0,500,1.156066777659774,1.1495423795323072,1.1625911757872407,0.9999999960114916
