p_g,mu_g,tau_eval,alpha_kappa,beta_kappa,window_lo,window_hi,replicate_id,post_mean_kappa,ratio_R,post_prob_kappa_in_scale_window
20,18.914832180063517,0.5,0.5,1.0,0.4728708045015879,0.9999,1,0.45512532529816924,0.48123644023432294,0.47137182374368036
20,18.914832180063517,0.5,0.5,1.0,0.4728708045015879,0.9999,2,0.5449676976444165,0.5762331829925721,0.5969081737439711
50,37.60603093086394,0.5,0.5,1.0,0.3760603093086394,0.9999,1,0.7375205905589874,0.9805881826705769,0.943277347588091
50,37.60603093086394,0.5,0.5,1.0,0.3760603093086394,0.9999,2,0.7336458029567352,0.975436365918929,0.9398925533440197
100,63.245553203367585,0.5,0.5,1.0,0.31622776601683794,0.9999,1,0.8018611706671464,1.2678538332785905,0.9901994715836218
100,63.245553203367585,0.5,0.5,1.0,0.31622776601683794,0.9999,2,0.7863087924288356,1.243263364145841,0.9871427830543907
200,106.36591793889977,0.5,0.5,1.0,0.26591479484724945,0.9999,1,0.828976492669417,1.5587257812142596,0.9939207213225135
200,106.36591793889977,0.5,0.5,1.0,0.26591479484724945,0.9999,2,0.8231755260020258,1.5478182146181185,0.9939699775454458
500,211.4742526881128,0.5,0.5,1.0,0.21147425268811282,0.8458970107524513,1,0.8964923064435907,2.1196251908873243,0.23534937515760185
500,211.4742526881128,0.5,0.5,1.0,0.21147425268811282,0.8458970107524513,2,0.8712233839331717,2.0598805123053734,0.3277451477306361
20,18.914832180063517,1.0,0.5,1.0,0.4728708045015879,0.9999,1,0.6460920033347407,0.6831591178648999,0.7557822462859385
20,18.914832180063517,1.0,0.5,1.0,0.4728708045015879,0.9999,2,0.7032930866326458,0.7436418995817747,0.8364819540441537
50,37.60603093086394,1.0,0.5,1.0,0.3760603093086394,0.9999,1,0.7669985278215328,1.019781280869026,0.9717399454659014
50,37.60603093086394,1.0,0.5,1.0,0.3760603093086394,0.9999,2,0.9015814031644773,1.1987191693028862,0.9890138619367228
100,63.245553203367585,1.0,0.5,1.0,0.31622776601683794,0.9999,1,0.8920457258726684,1.4104481353879126,0.9907649324416616
100,63.245553203367585,1.0,0.5,1.0,0.31622776601683794,0.9999,2,0.8973737744499551,1.4188725198820356,0.9901413061215918
200,106.36591793889977,1.0,0.5,1.0,0.26591479484724945,0.9999,1,0.9048058531025053,1.701307844909977,0.9900310420219262
200,106.36591793889977,1.0,0.5,1.0,0.26591479484724945,0.9999,2,0.8554236770129457,1.6084544628371098,0.9948147225107444
500,211.4742526881128,1.0,0.5,1.0,0.21147425268811282,0.8458970107524513,1,0.8567581073615964,2.0256794774566798,0.4181983936367184
500,211.4742526881128,1.0,0.5,1.0,0.21147425268811282,0.8458970107524513,2,0.7638633219050227,1.8060433177924176,0.7714875353347495
20,18.914832180063517,2.0,0.5,1.0,0.4728708045015879,0.9999,1,0.5209171365605412,0.5508028108328603,0.6134087707940139
20,18.914832180063517,2.0,0.5,1.0,0.4728708045015879,0.9999,2,0.4239032746383441,0.4482231410809383,0.435204422631007
50,37.60603093086394,2.0,0.5,1.0,0.3760603093086394,0.9999,1,0.6684018056374612,0.8886896451080829,0.9909579400674158
50,37.60603093086394,2.0,0.5,1.0,0.3760603093086394,0.9999,2,0.7896025425238926,1.0498349905305373,0.9995470283962307
100,63.245553203367585,2.0,0.5,1.0,0.31622776601683794,0.9999,1,0.7017964323536939,1.1096375900089777,0.9999947272840986
100,63.245553203367585,2.0,0.5,1.0,0.31622776601683794,0.9999,2,0.6407099029779872,1.0130513064179694,0.9997906160196984
200,106.36591793889977,2.0,0.5,1.0,0.26591479484724945,0.9999,1,0.554684392756735,1.0429739215438627,0.9999769903745969
200,106.36591793889977,2.0,0.5,1.0,0.26591479484724945,0.9999,2,0.5205249637738181,0.9787438943982515,0.9997691287974918
500,211.4742526881128,2.0,0.5,1.0,0.21147425268811282,0.8458970107524513,1,0.4944756845992938,1.1691155739147077,0.9999999987237105
500,211.4742526881128,2.0,0.5,1.0,0.21147425268811282,0.8458970107524513,2,0.48343774685332763,1.1430179814048402,0.9999999932992727
