run_name,experiment,status,duration_sec,params,outputs,error
run_001,exp2,dry_run,3.9999940781854093e-07,"{""bayes_min_chains"": 1, ""enforce_bayes_convergence"": false, ""group_sizes"": [30, 20, 15, 10, 5, 5], ""n_jobs"": 2, ""n_test"": 50, ""n_train"": 300, ""repeats"": 4, ""rho_between"": 0.05, ""rho_ref"": 0.2, ""rho_within"": 0.3, ""sampler_backend"": ""nuts"", ""save_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222942Z\\runs\\run_001"", ""seed"": 20260415, ""until_bayes_converged"": false, ""xi_ratios"": [0.0, 0.5, 1.0, 2.0, 6.0, 10.0]}",{},
run_002,exp2,dry_run,3.00002284348011e-07,"{""bayes_min_chains"": 1, ""enforce_bayes_convergence"": false, ""group_sizes"": [30, 20, 15, 10, 5, 5], ""n_jobs"": 2, ""n_test"": 50, ""n_train"": 300, ""repeats"": 4, ""rho_between"": 0.05, ""rho_ref"": 0.3, ""rho_within"": 0.3, ""sampler_backend"": ""nuts"", ""save_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222942Z\\runs\\run_002"", ""seed"": 20260415, ""until_bayes_converged"": false, ""xi_ratios"": [0.0, 0.5, 1.0, 2.0, 6.0, 10.0]}",{},
run_003,exp2,dry_run,2.00001522898674e-07,"{""bayes_min_chains"": 1, ""enforce_bayes_convergence"": false, ""group_sizes"": [30, 20, 15, 10, 5, 5], ""n_jobs"": 2, ""n_test"": 50, ""n_train"": 300, ""repeats"": 4, ""rho_between"": 0.05, ""rho_ref"": 0.4, ""rho_within"": 0.3, ""sampler_backend"": ""nuts"", ""save_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222942Z\\runs\\run_003"", ""seed"": 20260415, ""until_bayes_converged"": false, ""xi_ratios"": [0.0, 0.5, 1.0, 2.0, 6.0, 10.0]}",{},
run_004,exp2,dry_run,1.00000761449337e-07,"{""bayes_min_chains"": 1, ""enforce_bayes_convergence"": false, ""group_sizes"": [30, 20, 15, 10, 5, 5], ""n_jobs"": 2, ""n_test"": 50, ""n_train"": 300, ""repeats"": 4, ""rho_between"": 0.05, ""rho_ref"": 0.5, ""rho_within"": 0.3, ""sampler_backend"": ""nuts"", ""save_dir"": ""outputs\\simulation_project\\sweeps\\exp2_kappa_threshold_small\\20260422_222942Z\\runs\\run_004"", ""seed"": 20260415, ""until_bayes_converged"": false, ""xi_ratios"": [0.0, 0.5, 1.0, 2.0, 6.0, 10.0]}",{},
