p_g,setting_id,replicate_id,post_mean_kappa,post_median_kappa,post_sd_kappa,tail_prob_kappa_gt_2_over_sqrt_pg
10,1,1,0.5071012794630516,0.5093163325233376,0.28652100078982246,0.3748079823328724
10,1,2,0.47299931182085636,0.4601998798395397,0.29182541170932486,0.3353201453218461
20,2,1,0.47171999157708716,0.4577285706032234,0.2910945068683726,0.5100484547454386
20,2,2,0.4800791698416542,0.4700055320831209,0.29004574996756155,0.5222945191481094
