tau,xi,xi_ratio,p_g,mean_prob_gt_u0,sd_prob_gt_u0
0.3,0.008256880733944953,0.19999999999999998,60,0.2634489603942533,0.04029503241104937
0.3,0.016513761467889906,0.39999999999999997,60,0.26333901620582767,0.040230820394063595
0.3,0.02477064220183486,0.6,60,0.27167249006760424,0.042729545389454546
0.3,0.03302752293577981,0.7999999999999999,60,0.2766648149955687,0.04493358006249934
0.3,0.03715596330275229,0.9,60,0.2791527383076481,0.043334676801900396
0.3,0.03922018348623853,0.95,60,0.27508572436228595,0.044428436853242985
0.3,0.041284403669724766,1.0,60,0.2789030862069839,0.0429517102134549
0.3,0.043348623853211005,1.05,60,0.27713472830278335,0.044255774140214844
0.3,0.04541284403669724,1.1,60,0.2813885220511411,0.044870054430549484
0.3,0.04954128440366972,1.2,60,0.28058201230285496,0.042481625216566225
0.3,0.061926605504587146,1.5,60,0.2909862638136333,0.04516531796970179
0.3,0.08256880733944953,2.0,60,0.2981269841070151,0.046434763138994806
0.3,0.12385321100917429,3.0,60,0.3145521030767883,0.046496084585556846
0.3,0.16513761467889906,4.0,60,0.33257341751257163,0.050583716656188785
0.3,0.008256880733944953,0.19999999999999998,120,0.25402367947845134,0.058971792636062455
0.3,0.016513761467889906,0.39999999999999997,120,0.2602990065983641,0.05770493043868539
0.3,0.02477064220183486,0.6,120,0.2706958089334407,0.061179043674434
0.3,0.03302752293577981,0.7999999999999999,120,0.2782957020307775,0.059949002932066314
0.3,0.03715596330275229,0.9,120,0.28010796655293413,0.061556705045345037
0.3,0.03922018348623853,0.95,120,0.27846726370353425,0.05835773054799317
0.3,0.041284403669724766,1.0,120,0.2860117201224805,0.06162765774867532
0.3,0.043348623853211005,1.05,120,0.28399689268217876,0.056560007607081624
0.3,0.04541284403669724,1.1,120,0.2929947571724756,0.060674718590526464
0.3,0.04954128440366972,1.2,120,0.29071595962212254,0.05846598658467114
0.3,0.061926605504587146,1.5,120,0.29921394767535553,0.06023576501781704
0.3,0.08256880733944953,2.0,120,0.31811010383744803,0.06132593470416991
0.3,0.12385321100917429,3.0,120,0.3512417506001372,0.06544380031743383
0.3,0.16513761467889906,4.0,120,0.3837866176836244,0.06425746012761328
0.3,0.008256880733944953,0.19999999999999998,240,0.24054514966270782,0.07519060295234709
0.3,0.016513761467889906,0.39999999999999997,240,0.24970057669692172,0.07855670313757812
0.3,0.02477064220183486,0.6,240,0.2688581381991409,0.07630368400442357
0.3,0.03302752293577981,0.7999999999999999,240,0.27791538587970777,0.08046914124031306
0.3,0.03715596330275229,0.9,240,0.2894115225519407,0.08164961735589202
0.3,0.03922018348623853,0.95,240,0.2871224236801351,0.08299361337828347
0.3,0.041284403669724766,1.0,240,0.2922469946023109,0.0856511865708258
0.3,0.043348623853211005,1.05,240,0.3001311513548481,0.07841292011800503
0.3,0.04541284403669724,1.1,240,0.30254282049260167,0.08043847141104143
0.3,0.04954128440366972,1.2,240,0.3056842869024435,0.08304991077990129
0.3,0.061926605504587146,1.5,240,0.3278934262751659,0.08389491558579355
0.3,0.08256880733944953,2.0,240,0.3621586423374705,0.08014892404825753
0.3,0.12385321100917429,3.0,240,0.41754473607944165,0.07845556966037973
0.3,0.16513761467889906,4.0,240,0.47109563146705824,0.07100021518781138
0.3,0.008256880733944953,0.19999999999999998,480,0.20360531821401173,0.09899716091055911
0.3,0.016513761467889906,0.39999999999999997,480,0.24070265191731607,0.10330023253810068
0.3,0.02477064220183486,0.6,480,0.25879440731564,0.10185944759876439
0.3,0.03302752293577981,0.7999999999999999,480,0.29574907228230546,0.1048375024363244
0.3,0.03715596330275229,0.9,480,0.30758027747885414,0.10374180883577196
0.3,0.03922018348623853,0.95,480,0.30338015392058876,0.10398891882178549
0.3,0.041284403669724766,1.0,480,0.3157530358685208,0.1027202456288628
0.3,0.043348623853211005,1.05,480,0.31765212947539706,0.10198364194776359
0.3,0.04541284403669724,1.1,480,0.3244399437916287,0.10912300080228966
0.3,0.04954128440366972,1.2,480,0.3334710658856944,0.10613681314430526
0.3,0.061926605504587146,1.5,480,0.36945295777297854,0.09805671274330854
0.3,0.08256880733944953,2.0,480,0.43482390696218604,0.09275652105488859
0.3,0.12385321100917429,3.0,480,0.5220430152505653,0.07692654226604262
0.3,0.16513761467889906,4.0,480,0.5902432436127202,0.06070424622963501
0.3,0.008256880733944953,0.19999999999999998,960,0.16250240737133428,0.11491486259049988
0.3,0.016513761467889906,0.39999999999999997,960,0.20880828600082174,0.1257414152974714
0.3,0.02477064220183486,0.6,960,0.25636261951842365,0.1295944806968311
0.3,0.03302752293577981,0.7999999999999999,960,0.29299977855013554,0.12753736995705864
0.3,0.03715596330275229,0.9,960,0.3125660106763173,0.13302794922084782
0.3,0.03922018348623853,0.95,960,0.324957203529544,0.12587020089335785
0.3,0.041284403669724766,1.0,960,0.3464951214708305,0.13286658068455776
0.3,0.043348623853211005,1.05,960,0.3572804464848656,0.13036408617135525
0.3,0.04541284403669724,1.1,960,0.3687472413229285,0.13048331367933255
0.3,0.04954128440366972,1.2,960,0.38929689009021756,0.12222071571696788
0.3,0.061926605504587146,1.5,960,0.44655897156864416,0.11597747910914623
0.3,0.08256880733944953,2.0,960,0.5189024597592873,0.10045033863712427
0.3,0.12385321100917429,3.0,960,0.6568245337902809,0.06832579962371843
0.3,0.16513761467889906,4.0,960,0.7422180530641543,0.05317867969714643
0.3,0.008256880733944953,0.19999999999999998,1920,0.11439168576877728,0.11102453277643852
0.3,0.016513761467889906,0.39999999999999997,1920,0.15987454145999455,0.1329191888248187
0.3,0.02477064220183486,0.6,1920,0.2314806768021449,0.14514458045807585
0.3,0.03302752293577981,0.7999999999999999,1920,0.31139488989401626,0.15753075054028634
0.3,0.03715596330275229,0.9,1920,0.34384424315453377,0.15282242732111603
0.3,0.03922018348623853,0.95,1920,0.365658201557614,0.14989039779321714
0.3,0.041284403669724766,1.0,1920,0.3724868955057242,0.15570045755604678
0.3,0.043348623853211005,1.05,1920,0.4001148074028059,0.1523538874941301
0.3,0.04541284403669724,1.1,1920,0.42352297971858177,0.13564223316996762
0.3,0.04954128440366972,1.2,1920,0.4450178602373845,0.14193184175172605
0.3,0.061926605504587146,1.5,1920,0.5505241984570017,0.1202835566455715
0.3,0.08256880733944953,2.0,1920,0.6580949451169867,0.09089338115074226
0.3,0.12385321100917429,3.0,1920,0.8077674946205231,0.05083249927219316
0.3,0.16513761467889906,4.0,1920,0.8842186310111126,0.030688653246822097
0.5,0.020000000000000004,0.20000000000000004,60,0.22478839308791257,0.10345959645131218
0.5,0.04000000000000001,0.4000000000000001,60,0.23941089299456364,0.11566219180779809
0.5,0.06,0.6,60,0.2711986082733568,0.1176424797943053
0.5,0.08000000000000002,0.8000000000000002,60,0.29872717632857665,0.12381974111925806
0.5,0.09000000000000001,0.9,60,0.3053255697706997,0.12145600157505099
0.5,0.095,0.95,60,0.3187256474456767,0.12805515064572445
0.5,0.1,1.0,60,0.3235488731443732,0.1292309753738916
0.5,0.10500000000000001,1.05,60,0.3259888724226138,0.13290130269679384
0.5,0.11000000000000001,1.1,60,0.33048485907922803,0.13024753696638744
0.5,0.12,1.2,60,0.34279220684750544,0.12940661350595564
0.5,0.15000000000000002,1.5000000000000002,60,0.3640149970763988,0.13985412739022504
0.5,0.2,2.0,60,0.43543712062827467,0.13524305588410587
0.5,0.30000000000000004,3.0000000000000004,60,0.5382813088216959,0.1286409395604565
0.5,0.4,4.0,60,0.6188675585337645,0.1141990075985242
0.5,0.020000000000000004,0.20000000000000004,120,0.18560485064962606,0.12625336393098055
0.5,0.04000000000000001,0.4000000000000001,120,0.2275368800446598,0.1355725276517755
0.5,0.06,0.6,120,0.2624036413500472,0.1531486283980508
0.5,0.08000000000000002,0.8000000000000002,120,0.3092926145722053,0.15385399199459607
0.5,0.09000000000000001,0.9,120,0.33373062526046154,0.15779863641504172
0.5,0.095,0.95,120,0.34027985931753313,0.16253074987776722
0.5,0.1,1.0,120,0.35201366684785956,0.16262042939698665
0.5,0.10500000000000001,1.05,120,0.3739819114127871,0.1629358820217804
0.5,0.11000000000000001,1.1,120,0.3658608487193995,0.15816983317022254
0.5,0.12,1.2,120,0.38703189707918634,0.16176325596112065
0.5,0.15000000000000002,1.5000000000000002,120,0.45059222750207234,0.16443789577836748
0.5,0.2,2.0,120,0.5512644006083652,0.1539891513646629
0.5,0.30000000000000004,3.0000000000000004,120,0.6927878389850628,0.12066254402232522
0.5,0.4,4.0,120,0.8003068040112286,0.08851776577062741
0.5,0.020000000000000004,0.20000000000000004,240,0.14007028528594911,0.13367413981242637
0.5,0.04000000000000001,0.4000000000000001,240,0.2056732135882332,0.16138026549954515
0.5,0.06,0.6,240,0.264803502343798,0.17693625970664345
0.5,0.08000000000000002,0.8000000000000002,240,0.34001329310023737,0.18988878118664257
0.5,0.09000000000000001,0.9,240,0.3681692741668662,0.19755363955340785
0.5,0.095,0.95,240,0.35810473376798835,0.19125759136097673
0.5,0.1,1.0,240,0.4091111149567446,0.19571108922322714
0.5,0.10500000000000001,1.05,240,0.41495005635450505,0.19114984544289854
0.5,0.11000000000000001,1.1,240,0.4282053900259782,0.1893790370100863
0.5,0.12,1.2,240,0.45117643906837024,0.19450118474303865
0.5,0.15000000000000002,1.5000000000000002,240,0.5608209335868647,0.1807717256853591
0.5,0.2,2.0,240,0.6955871392506465,0.1459988921928528
0.5,0.30000000000000004,3.0000000000000004,240,0.8621292920422525,0.07732477774366489
0.5,0.4,4.0,240,0.9335238026152081,0.041953950198949486
0.5,0.020000000000000004,0.20000000000000004,480,0.07520891871585525,0.11293609188594682
0.5,0.04000000000000001,0.4000000000000001,480,0.1335118859859075,0.14763597285187746
0.5,0.06,0.6,480,0.22837105945449834,0.18598723775753934
0.5,0.08000000000000002,0.8000000000000002,480,0.3680637621282364,0.20877726149789205
0.5,0.09000000000000001,0.9,480,0.3945818528269177,0.21683146519864976
0.5,0.095,0.95,480,0.4146722879621192,0.21226706558313704
0.5,0.1,1.0,480,0.4476101502636817,0.21573930380830517
0.5,0.10500000000000001,1.05,480,0.4982881072644602,0.21920075455939578
0.5,0.11000000000000001,1.1,480,0.5177217005854624,0.20967354279484915
0.5,0.12,1.2,480,0.5563210976396347,0.20418001748012368
0.5,0.15000000000000002,1.5000000000000002,480,0.7032702553481606,0.1624509612107944
0.5,0.2,2.0,480,0.8486444489572716,0.11178574990619979
0.5,0.30000000000000004,3.0000000000000004,480,0.9653757532744784,0.029895580691532215
0.5,0.4,4.0,480,0.992321697855563,0.007525909494968928
0.5,0.020000000000000004,0.20000000000000004,960,0.01974944980173277,0.04937020678899375
0.5,0.04000000000000001,0.4000000000000001,960,0.06604947297198716,0.10534625775256219
0.5,0.06,0.6,960,0.178643472199932,0.17947836780881746
0.5,0.08000000000000002,0.8000000000000002,960,0.31436967318454984,0.21981889922693632
0.5,0.09000000000000001,0.9,960,0.4182975002198632,0.24859320917483368
0.5,0.095,0.95,960,0.46070883625007863,0.23665602834567653
0.5,0.1,1.0,960,0.5016898817088276,0.24421440458268984
0.5,0.10500000000000001,1.05,960,0.5401439022696811,0.229197664481688
0.5,0.11000000000000001,1.1,960,0.5703853359177635,0.22700667705188157
0.5,0.12,1.2,960,0.6500052076079754,0.21207843050446293
0.5,0.15000000000000002,1.5000000000000002,960,0.8400822269319403,0.12942126773647236
0.5,0.2,2.0,960,0.9596313739253257,0.04142362019935554
0.5,0.30000000000000004,3.0000000000000004,960,0.9979971355434233,0.0022882961701510694
0.5,0.4,4.0,960,0.9999069656705378,0.00012029652342999512
0.5,0.020000000000000004,0.20000000000000004,1920,0.0013270894241709738,0.006510097326419781
0.5,0.04000000000000001,0.4000000000000001,1920,0.015637692981355294,0.03833631543588235
0.5,0.06,0.6,1920,0.08751185781872611,0.1351702052385245
0.5,0.08000000000000002,0.8000000000000002,1920,0.2745298956480021,0.2356504134328958
0.5,0.09000000000000001,0.9,1920,0.4155983295896383,0.24576586685950255
0.5,0.095,0.95,1920,0.46334386596945704,0.26708913811509344
0.5,0.1,1.0,1920,0.5471750649547723,0.24871335135473832
0.5,0.10500000000000001,1.05,1920,0.5708672907740312,0.24098659520558782
0.5,0.11000000000000001,1.1,1920,0.6766482577485046,0.2244277154179856
0.5,0.12,1.2,1920,0.7630404035070237,0.19065037338545754
0.5,0.15000000000000002,1.5000000000000002,1920,0.9406207901971061,0.07965033934088135
0.5,0.2,2.0,1920,0.9965629456944273,0.0053472001563018194
0.5,0.30000000000000004,3.0000000000000004,1920,0.9999915239666844,1.6411500867576532e-05
0.5,0.4,4.0,1920,0.9999999818059467,3.8905455645371223e-08
1.0,0.05,0.2,60,0.08922455157666546,0.1170668844414916
1.0,0.1,0.4,60,0.1615202616704129,0.1852861550690437
1.0,0.15,0.6,60,0.2237359661653993,0.1984471699443572
1.0,0.2,0.8,60,0.3115240936355564,0.24786762827340045
1.0,0.225,0.9,60,0.36944380827912177,0.25365123332659506
1.0,0.2375,0.95,60,0.4000475913043754,0.2664056161087961
1.0,0.25,1.0,60,0.4338610690009696,0.2683593185209763
1.0,0.2625,1.05,60,0.4645713023130127,0.2727548502094334
1.0,0.275,1.1,60,0.4742473485626331,0.2681426067306109
1.0,0.3,1.2,60,0.542162157505592,0.2611222594161114
1.0,0.375,1.5,60,0.6459607972917857,0.2488185443605417
1.0,0.5,2.0,60,0.8303390836386859,0.179521302739647
1.0,0.75,3.0,60,0.9669978925911318,0.06937482689909572
1.0,1.0,4.0,60,0.9946285943639331,0.016603276717562544
1.0,0.05,0.2,120,0.032875987965453234,0.06633804165602691
1.0,0.1,0.4,120,0.0947964625108848,0.14916474703719645
1.0,0.15,0.6,120,0.18413600527492405,0.20029331177019336
1.0,0.2,0.8,120,0.2912465868074774,0.23949824964277722
1.0,0.225,0.9,120,0.39150181154353747,0.27178736940658527
