variant,p0_true,mse_null,mse_signal,mse_overall,tau0_oracle,tau_post_mean,tau_ratio_to_oracle,kappa_null_mean,kappa_signal_mean,n_effective
fixed_10x,5.0,0.0002719396880362,0.0035144306046164,0.0005961887796942,0.0111111111111111,0.2415775097385049,21.74197587646544,0.2550698781900904,0.7714186027497054,1.0
calibrated,5.0,0.0002199980722621,0.0040600761012303,0.0006040058751589,0.0111111111111111,0.1941342700161039,17.47208430144936,0.2662490479755908,0.7679960460662842,1.0
