setting_id,replicate_id,prior_id,alpha_kappa,beta_kappa,p0_signal_groups,tau_target,status,converged,fit_attempts,mse_null,mse_signal,group_auroc,kappa_null_mean,kappa_signal_mean,kappa_null_prob_gt_0_1,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error
1,1,1,2.0,2.0,3,groups,error,False,1,,,,,,,17.579446000003372,1.0448049306869507,63.062447790252854,0.0,ConvergenceError: GR_RHS did not converge after 1 attempt(s)
2,1,1,2.0,2.0,3,groups,ok,True,1,0.004623405596918766,0.014668057623278158,1.0,0.38199482348014135,0.7064423740555843,0.8275,12.865517300000647,1.012428879737854,313.1533030050005,0.0,
