xi,xi_ratio,p_g,mean_prob_gt_u0,sd_prob_gt_u0
0.01238532110091743,0.3,30,0.23510290482695131,0.033259907270094466
0.020642201834862383,0.5,30,0.2851256255470887,0.010281292608479152
0.028899082568807334,0.7,30,0.30273786034768513,0.018277875836137703
0.03509174311926605,0.85,30,0.2178772840636798,0.0011952768914758234
0.03922018348623853,0.95,30,0.2873265504649247,0.037026282131548995
0.043348623853211005,1.05,30,0.28841182683898836,0.009881790507138733
0.047477064220183475,1.15,30,0.25925265184039353,0.016532315319965758
0.0536697247706422,1.3,30,0.30594160084767513,0.011053082250182455
0.061926605504587146,1.5,30,0.29163115554528574,0.007661578710513797
0.08256880733944953,2.0,30,0.23951869111464957,0.034558177768740164
0.01238532110091743,0.3,60,0.3168798655122965,0.015702933003392792
0.020642201834862383,0.5,60,0.23941859343438626,0.051018052803911466
0.028899082568807334,0.7,60,0.31198327722344255,0.07943263151772978
0.03509174311926605,0.85,60,0.2998407093300266,0.006416691008990809
0.03922018348623853,0.95,60,0.3055444400988325,0.006062419268743812
0.043348623853211005,1.05,60,0.2625689783618713,0.012388859210652558
0.047477064220183475,1.15,60,0.2953723065266436,0.003967381078798077
0.0536697247706422,1.3,60,0.2825495851449161,0.10055264565141163
0.061926605504587146,1.5,60,0.28529087591750946,0.025660304087464118
0.08256880733944953,2.0,60,0.27607195094034975,0.11575215366680369
0.01238532110091743,0.3,120,0.31404445446099033,0.08126908739391515
0.020642201834862383,0.5,120,0.2812029576027581,0.034156618694474596
0.028899082568807334,0.7,120,0.2665898647958761,0.013663705238216585
0.03509174311926605,0.85,120,0.28677691773690717,0.004453479385627401
0.03922018348623853,0.95,120,0.3194909005915495,0.023378074234766972
0.043348623853211005,1.05,120,0.3089493449143754,0.032085415918538
0.047477064220183475,1.15,120,0.33630491710282207,0.09912101037418282
0.0536697247706422,1.3,120,0.2514203465129566,0.04580208354708965
0.061926605504587146,1.5,120,0.33698670485602256,0.02116270642924613
0.08256880733944953,2.0,120,0.3165887159214832,0.007101793806852918
0.01238532110091743,0.3,240,0.33223806229544695,0.022812098018629136
0.020642201834862383,0.5,240,0.13376557549242898,0.011214876652307096
0.028899082568807334,0.7,240,0.2056315199817489,0.14166469145827706
0.03509174311926605,0.85,240,0.2497083607365747,0.09116883901887718
0.03922018348623853,0.95,240,0.39874886658942915,0.07062601406933212
0.043348623853211005,1.05,240,0.25803332605282364,0.03727919778054778
0.047477064220183475,1.15,240,0.3207123011125351,0.04773741973129893
0.0536697247706422,1.3,240,0.322573829084486,0.11091100052709348
0.061926605504587146,1.5,240,0.3786203287476534,0.0009789223577032881
0.08256880733944953,2.0,240,0.35068560522543896,0.002027318235728955
0.01238532110091743,0.3,480,0.290275959656602,0.24017086207708266
0.020642201834862383,0.5,480,0.25942799267802813,0.1556499581666867
0.028899082568807334,0.7,480,0.1934016736149417,0.059497022994322586
0.03509174311926605,0.85,480,0.24780685948352915,0.1562093491754411
0.03922018348623853,0.95,480,0.32649586860270474,0.0968399747707844
0.043348623853211005,1.05,480,0.21712849113457214,0.01112370634247128
0.047477064220183475,1.15,480,0.2769068624649724,0.1765854314915004
0.0536697247706422,1.3,480,0.3067865234416318,0.15239720343850113
0.061926605504587146,1.5,480,0.3360663507624724,0.03903195528714519
0.08256880733944953,2.0,480,0.47043905214760245,0.08009881832313964
