tau,xi,p_g,replicate_id,post_prob_kappa_gt_u0,post_mean_kappa,xi_ratio
0.1,0.0014851485148514854,30,1,0.2717261948807811,0.3102098171918019,0.3
0.1,0.0014851485148514854,30,2,0.2747837182019788,0.3134849051599381,0.3
0.1,0.0024752475247524757,30,1,0.2710217173548143,0.30945418019532267,0.5
0.1,0.0024752475247524757,30,2,0.2723718610046034,0.31090203580419085,0.5
0.1,0.003465346534653466,30,1,0.26873108804112816,0.30699459422078307,0.7
0.1,0.003465346534653466,30,2,0.27100004901325403,0.3094309322536556,0.7
0.1,0.004207920792079208,30,1,0.269522738126172,0.30784508423535095,0.8499999999999999
0.1,0.004207920792079208,30,2,0.2735795818572705,0.3121959621811743,0.8499999999999999
0.1,0.004702970297029704,30,1,0.2715325736412315,0.31000217310747413,0.95
0.1,0.004702970297029704,30,2,0.2698560776407628,0.30820305849681895,0.95
0.1,0.005198019801980199,30,1,0.27290557980860985,0.31147399135232945,1.05
0.1,0.005198019801980199,30,2,0.2706489628899731,0.3090542023051969,1.05
0.1,0.005693069306930694,30,1,0.27015295859754784,0.3085218091287587,1.15
0.1,0.005693069306930694,30,2,0.2704811401317426,0.3088740883277171,1.15
0.1,0.006435643564356437,30,1,0.27264616937132735,0.311196023919011,1.3
0.1,0.006435643564356437,30,2,0.2693388533076352,0.3076475739773985,1.3
0.1,0.007425742574257427,30,1,0.2748392709663608,0.31354434267816456,1.5
0.1,0.007425742574257427,30,2,0.2732105023613806,0.31180065939029966,1.5
0.1,0.009900990099009903,30,1,0.27807058926744344,0.3169973337280876,2.0
0.1,0.009900990099009903,30,2,0.2686949021770788,0.3069557076063249,2.0
0.1,0.0014851485148514854,60,1,0.2732465402651744,0.3118408585949371,0.3
0.1,0.0014851485148514854,60,2,0.2727760582583292,0.3113368083261995,0.3
0.1,0.0024752475247524757,60,1,0.26923053727490764,0.3075328260174211,0.5
0.1,0.0024752475247524757,60,2,0.26970857607530074,0.3080462713309303,0.5
0.1,0.003465346534653466,60,1,0.27989862475871563,0.31894854149160234,0.7
0.1,0.003465346534653466,60,2,0.27267583212021507,0.3112294088408488,0.7
0.1,0.004207920792079208,60,1,0.2751670992538162,0.313896636229121,0.8499999999999999
0.1,0.004207920792079208,60,2,0.2705356822210839,0.3089342303110152,0.8499999999999999
0.1,0.004702970297029704,60,1,0.2705728932973961,0.3089741669167485,0.95
0.1,0.004702970297029704,60,2,0.27140345215045414,0.3098652848832127,0.95
0.1,0.005198019801980199,60,1,0.27140122854352067,0.3098628998505592,1.05
0.1,0.005198019801980199,60,2,0.27254423162223834,0.31108837759385943,1.05
0.1,0.005693069306930694,60,1,0.2725950627198739,0.3111428529460688,1.15
0.1,0.005693069306930694,60,2,0.2737542222290805,0.31238456820741295,1.15
0.1,0.006435643564356437,60,1,0.2699032640257748,0.30825532971611636,1.3
0.1,0.006435643564356437,60,2,0.2698829859351636,0.3082335561818179,1.3
0.1,0.007425742574257427,60,1,0.2717219458455091,0.3102068607550359,1.5
0.1,0.007425742574257427,60,2,0.2681485816143765,0.30637010191117486,1.5
0.1,0.009900990099009903,60,1,0.26705295459242107,0.3051918008086858,2.0
0.1,0.009900990099009903,60,2,0.2712012672123298,0.30964840653414644,2.0
0.1,0.0014851485148514854,120,1,0.26472971969683556,0.3026935886705533,0.3
0.1,0.0014851485148514854,120,2,0.2721286448647991,0.3106461185261026,0.3
0.1,0.0024752475247524757,120,1,0.27191778531370514,0.3104200533802556,0.5
0.1,0.0024752475247524757,120,2,0.26879158519315627,0.3070644250271728,0.5
0.1,0.003465346534653466,120,1,0.26732487252153286,0.30548753963572933,0.7
0.1,0.003465346534653466,120,2,0.27239437721805254,0.3109309644040883,0.7
0.1,0.004207920792079208,120,1,0.2775559987120335,0.31645276273421885,0.8499999999999999
0.1,0.004207920792079208,120,2,0.28070552813885474,0.31981136574215074,0.8499999999999999
0.1,0.004702970297029704,120,1,0.2722175643503273,0.3107414398880549,0.95
0.1,0.004702970297029704,120,2,0.271041157419988,0.30947984208762785,0.95
0.1,0.005198019801980199,120,1,0.2701965216331961,0.3085733866370828,1.05
0.1,0.005198019801980199,120,2,0.27573390493372596,0.3145059643521731,1.05
0.1,0.005693069306930694,120,1,0.2718232622678449,0.3103187028844233,1.15
0.1,0.005693069306930694,120,2,0.27870006084659205,0.31767373099420865,1.15
0.1,0.006435643564356437,120,1,0.2771503496886232,0.3160195855890305,1.3
0.1,0.006435643564356437,120,2,0.271089693194921,0.3095319136902478,1.3
0.1,0.007425742574257427,120,1,0.26451079601888894,0.30245767230313636,1.5
0.1,0.007425742574257427,120,2,0.2726381105253282,0.31119218064409093,1.5
0.1,0.009900990099009903,120,1,0.27111345813930776,0.30955740925095815,2.0
0.1,0.009900990099009903,120,2,0.27029534092160884,0.3086794666550237,2.0
0.1,0.0014851485148514854,240,1,0.26915405242233537,0.3074602960304571,0.3
0.1,0.0014851485148514854,240,2,0.2669952786274284,0.30513941155583585,0.3
0.1,0.0024752475247524757,240,1,0.27087665243185516,0.3093097471143511,0.5
0.1,0.0024752475247524757,240,2,0.2729786780243301,0.31156348570857706,0.5
0.1,0.003465346534653466,240,1,0.27086516211890244,0.3092974181340362,0.7
0.1,0.003465346534653466,240,2,0.27776414634401136,0.31668131370735275,0.7
0.1,0.004207920792079208,240,1,0.26407016370259045,0.3019891987142198,0.8499999999999999
0.1,0.004207920792079208,240,2,0.2667727918448425,0.3049000217316358,0.8499999999999999
0.1,0.004702970297029704,240,1,0.2814067579730824,0.3205642839799174,0.95
0.1,0.004702970297029704,240,2,0.277941587292649,0.3168707208258199,0.95
0.1,0.005198019801980199,240,1,0.26050242298065684,0.298138686091725,1.05
0.1,0.005198019801980199,240,2,0.269325988642412,0.3076449942674803,1.05
0.1,0.005693069306930694,240,1,0.27464770401535243,0.3133505138119863,1.15
0.1,0.005693069306930694,240,2,0.2716165883161242,0.31010347705582,1.15
0.1,0.006435643564356437,240,1,0.2780959218777122,0.3170354421581518,1.3
0.1,0.006435643564356437,240,2,0.26852167282736067,0.30678078728767794,1.3
0.1,0.007425742574257427,240,1,0.26797647635008903,0.30619471972932005,1.5
0.1,0.007425742574257427,240,2,0.2686767949590492,0.3069474978315531,1.5
0.1,0.009900990099009903,240,1,0.267958375429989,0.30617525807369816,2.0
0.1,0.009900990099009903,240,2,0.2802991762377447,0.3193848056043711,2.0
0.1,0.0014851485148514854,480,1,0.26597449862944006,0.30405368039058434,0.3
0.1,0.0014851485148514854,480,2,0.2616198714392823,0.2993586130652417,0.3
0.1,0.0024752475247524757,480,1,0.2752020926979816,0.3139563300123721,0.5
0.1,0.0024752475247524757,480,2,0.28269742018671584,0.32194991450581417,0.5
0.1,0.003465346534653466,480,1,0.27947619081774805,0.3185203349051094,0.7
0.1,0.003465346534653466,480,2,0.2596630562137943,0.29724449248478346,0.7
0.1,0.004207920792079208,480,1,0.27634311070047923,0.31517620728182877,0.8499999999999999
0.1,0.004207920792079208,480,2,0.26417902580657043,0.302119473040461,0.8499999999999999
0.1,0.004702970297029704,480,1,0.27256569800087516,0.31113374849175135,0.95
0.1,0.004702970297029704,480,2,0.2921586988523361,0.3319692673426167,0.95
0.1,0.005198019801980199,480,1,0.2722063394109708,0.31074858796684,1.05
0.1,0.005198019801980199,480,2,0.2788227548236725,0.31782355617043817,1.05
0.1,0.005693069306930694,480,1,0.26716416571584556,0.3053339847676443,1.15
0.1,0.005693069306930694,480,2,0.2789077727445584,0.31791423365430366,1.15
0.1,0.006435643564356437,480,1,0.2829848148080755,0.32225546146607126,1.3
0.1,0.006435643564356437,480,2,0.27752017701878995,0.31643351409960063,1.3
0.1,0.007425742574257427,480,1,0.27422394114010273,0.312909742381859,1.5
0.1,0.007425742574257427,480,2,0.27519452209442313,0.31394823267399474,1.5
0.1,0.009900990099009903,480,1,0.2755542119860166,0.3143328975374693,2.0
0.1,0.009900990099009903,480,2,0.2632294634520457,0.30109560700946314,2.0
0.2,0.00576923076923077,30,1,0.2804458800656691,0.3189859758535806,0.3
0.2,0.00576923076923077,30,2,0.26504146486429603,0.3035974527382167,0.3
0.2,0.009615384615384618,30,1,0.2870107102751538,0.3254809023931776,0.5
0.2,0.009615384615384618,30,2,0.2757051904216469,0.3142720758850572,0.5
0.2,0.013461538461538464,30,1,0.2624048115552531,0.3009431500455293,0.7
0.2,0.013461538461538464,30,2,0.26608546110402376,0.30464681185729997,0.7
0.2,0.01634615384615385,30,1,0.27990186386042704,0.3184460362281521,0.85
0.2,0.01634615384615385,30,2,0.27387715045628697,0.31244912353855636,0.85
0.2,0.018269230769230774,30,1,0.26986493817272605,0.3084379443502233,0.95
0.2,0.018269230769230774,30,2,0.2493548412371009,0.287720345045173,0.95
0.2,0.020192307692307697,30,1,0.2713545933885261,0.3099288347898829,1.05
0.2,0.020192307692307697,30,2,0.2772185613447215,0.3157790336900679,1.05
0.2,0.02211538461538462,30,1,0.28237223771417685,0.32089579594633283,1.15
0.2,0.02211538461538462,30,2,0.2692016823893085,0.30777352595586166,1.15
0.2,0.02500000000000001,30,1,0.2928972685626079,0.3312718343375126,1.3
0.2,0.02500000000000001,30,2,0.26533693669452696,0.30389453615210704,1.3
0.2,0.028846153846153855,30,1,0.28293178809311637,0.3214499263410653,1.5
0.2,0.028846153846153855,30,2,0.28058585062486585,0.31912485532020934,1.5
0.2,0.03846153846153847,30,1,0.2746876619919467,0.3132577375217421,2.0
0.2,0.03846153846153847,30,2,0.29175564037181845,0.33015121430043703,2.0
0.2,0.00576923076923077,60,1,0.2953797806535845,0.3337616982565774,0.3
0.2,0.00576923076923077,60,2,0.2735356333688227,0.31216704639458137,0.3
0.2,0.009615384615384618,60,1,0.2670558562878373,0.30568050881417996,0.5
0.2,0.009615384615384618,60,2,0.23981566847815317,0.2780262711526356,0.5
0.2,0.013461538461538464,60,1,0.2722931728349038,0.3109260928317781,0.7
0.2,0.013461538461538464,60,2,0.2292722180317835,0.2671603798593648,0.7
0.2,0.01634615384615385,60,1,0.25003981238751105,0.28847758723576034,0.85
0.2,0.01634615384615385,60,2,0.2912613737895838,0.3297232071261029,0.85
0.2,0.018269230769230774,60,1,0.280532605195054,0.3191303965777587,0.95
0.2,0.018269230769230774,60,2,0.24671849396350065,0.2850917984258712,0.95
0.2,0.020192307692307697,60,1,0.258326533712722,0.2968855502026092,1.05
0.2,0.020192307692307697,60,2,0.26211828765290013,0.30071371163785887,1.05
0.2,0.02211538461538462,60,1,0.3042504194256519,0.3424066620500421,1.15
0.2,0.02211538461538462,60,2,0.2635707808433816,0.3021769471864153,1.15
0.2,0.02500000000000001,60,1,0.271698054804556,0.3103312236044854,1.3
0.2,0.02500000000000001,60,2,0.266304720565269,0.3049262615774908,1.3
0.2,0.028846153846153855,60,1,0.24533949853136422,0.2836833892812959,1.5
0.2,0.028846153846153855,60,2,0.29941821301616756,0.3377065379123431,1.5
0.2,0.03846153846153847,60,1,0.2568592151075119,0.2954009135561689,2.0
0.2,0.03846153846153847,60,2,0.2980910706393696,0.33641182828119126,2.0
0.2,0.00576923076923077,120,1,0.2407040772325528,0.2790573929030765,0.3
0.2,0.00576923076923077,120,2,0.27125025154150584,0.3100012337871523,0.3
0.2,0.009615384615384618,120,1,0.2950792288699211,0.3335817991991458,0.5
0.2,0.009615384615384618,120,2,0.25459455852701623,0.29322518805240605,0.5
0.2,0.013461538461538464,120,1,0.29835964737698106,0.33678762976649423,0.7
0.2,0.013461538461538464,120,2,0.2971294700940096,0.3355865992775386,0.7
0.2,0.01634615384615385,120,1,0.2756791651563125,0.31442214287251485,0.85
0.2,0.01634615384615385,120,2,0.2556051092266903,0.29424970541940887,0.85
0.2,0.018269230769230774,120,1,0.29864970884842895,0.3370706124015101,0.95
0.2,0.018269230769230774,120,2,0.28742120534952786,0.3260592388660337,0.95
0.2,0.020192307692307697,120,1,0.29653274435645843,0.33500350283675095,1.05
0.2,0.020192307692307697,120,2,0.23705547476710842,0.2753098770199137,1.05
0.2,0.02211538461538462,120,1,0.24876395529592502,0.28729746685766794,1.15
0.2,0.02211538461538462,120,2,0.26529568163350603,0.3040307015735634,1.15
0.2,0.02500000000000001,120,1,0.3055822928643439,0.34381036188771547,1.3
0.2,0.02500000000000001,120,2,0.2621809077035931,0.3008955066664326,1.3
0.2,0.028846153846153855,120,1,0.25716732317999536,0.29583183449477224,1.5
0.2,0.028846153846153855,120,2,0.29656087320595226,0.3350309966732708,1.5
0.2,0.03846153846153847,120,1,0.26221823656180704,0.30093312898686986,2.0
0.2,0.03846153846153847,120,2,0.23933784512248366,0.27765538114313315,2.0
0.2,0.00576923076923077,240,1,0.26417438944691807,0.3031398812975632,0.3
0.2,0.00576923076923077,240,2,0.2371814909643895,0.2756787405812402,0.3
0.2,0.009615384615384618,240,1,0.31346043702686477,0.35163337244064086,0.5
0.2,0.009615384615384618,240,2,0.32471743835195654,0.3623844622980265,0.5
0.2,0.013461538461538464,240,1,0.296925934005278,0.33561527128696017,0.7
0.2,0.013461538461538464,240,2,0.3541186374209726,0.3898334993364161,0.7
0.2,0.01634615384615385,240,1,0.28700244669399166,0.3258774637545141,0.85
0.2,0.01634615384615385,240,2,0.30626352043659766,0.34469369376290726,0.85
0.2,0.018269230769230774,240,1,0.2625695527821589,0.30152429707055,0.95
0.2,0.018269230769230774,240,2,0.2934379047898449,0.3322029055884425,0.95
0.2,0.020192307692307697,240,1,0.2385304145035803,0.27706534070070155,1.05
0.2,0.020192307692307697,240,2,0.28386413353989726,0.32277906519443195,1.05
0.2,0.02211538461538462,240,1,0.29992361577695925,0.33853879842741885,1.15
0.2,0.02211538461538462,240,2,0.317535124983225,0.3555397145808581,1.15
0.2,0.02500000000000001,240,1,0.2501811792619413,0.28897957576979594,1.3
0.2,0.02500000000000001,240,2,0.2896594446405416,0.3284936557279209,1.3
0.2,0.028846153846153855,240,1,0.29552988392628876,0.33425086962865913,1.5
0.2,0.028846153846153855,240,2,0.282190001647733,0.3211225830888462,1.5
0.2,0.03846153846153847,240,1,0.31804065918320723,0.3560232024499289,2.0
0.2,0.03846153846153847,240,2,0.3025203389439795,0.3410643991690107,2.0
0.2,0.00576923076923077,480,1,0.30663308047762244,0.34549627047486475,0.3
0.2,0.00576923076923077,480,2,0.2583637888981916,0.2977550222253772,0.3
0.2,0.009615384615384618,480,1,0.28155036092530794,0.3209535658098296,0.5
0.2,0.009615384615384618,480,2,0.28674033256593046,0.32608022827592,0.5
0.2,0.013461538461538464,480,1,0.24887664954115984,0.28812842082450923,0.7
0.2,0.013461538461538464,480,2,0.3186811058561393,0.3570678968086835,0.7
0.2,0.01634615384615385,480,1,0.3102010798924437,0.3489383201957354,0.85
0.2,0.01634615384615385,480,2,0.3063936211265204,0.3452648141327302,0.85
0.2,0.018269230769230774,480,1,0.2462709993691984,0.28547114665478823,0.95
0.2,0.018269230769230774,480,2,0.3629432503386447,0.39825344476658353,0.95
0.2,0.020192307692307697,480,1,0.22419644098352365,0.26273365993201114,1.05
0.2,0.020192307692307697,480,2,0.28842477216331064,0.32773878778934407,1.05
0.2,0.02211538461538462,480,1,0.24008627756890769,0.2791411795183719,1.15
0.2,0.02211538461538462,480,2,0.293644051033916,0.3328610846492953,1.15
0.2,0.02500000000000001,480,1,0.19355513549027353,0.23051902857713558,1.3
