p_g,signal_type,appendix_band_x_lower,appendix_band_x_upper,appendix_band_mass_mean
20.0,distributed,0.005716339298907187,0.01714901789672156,0.009819511657419459
50.0,distributed,0.005716339298907187,0.01714901789672156,0.0063487791425802815
20.0,sparse,0.005716339298907187,0.01714901789672156,0.009568360964488569
50.0,sparse,0.005716339298907187,0.01714901789672156,0.006545847932730401
