tau,xi,xi_ratio,p_g,mean_prob_gt_u0,sd_prob_gt_u0
0.1,0.0014851485148514854,0.3,30,0.27226319971591884,0.0017901781883619785
0.1,0.0024752475247524757,0.5,30,0.2721058114767528,0.0018760843621041876
0.1,0.003465346534653466,0.7,30,0.27208011200728466,0.0020159499985033134
0.1,0.004207920792079208,0.8499999999999999,30,0.2722487635885301,0.0020579879956790434
0.1,0.004702970297029704,0.95,30,0.2724924086851429,0.002065195096315416
0.1,0.005198019801980199,1.05,30,0.2720723490928476,0.0019059370676042181
0.1,0.005693069306930694,1.15,30,0.2720447152831904,0.0017949687201960587
0.1,0.006435643564356437,1.3,30,0.27198124675902713,0.002098052118846509
0.1,0.007425742574257427,1.5,30,0.2720008626335026,0.0019637655918628024
0.1,0.009900990099009903,2.0,30,0.2721800817323365,0.002054128776690129
0.1,0.0014851485148514854,0.3,60,0.2722768524846627,0.002722601115362559
0.1,0.0024752475247524757,0.5,60,0.27216094931949314,0.002828637543874921
0.1,0.003465346534653466,0.7,60,0.27195747939200066,0.0030059691959105892
0.1,0.004207920792079208,0.8499999999999999,60,0.2721188246703356,0.0026922105280301435
0.1,0.004702970297029704,0.95,60,0.27205736602021263,0.00282318711814798
0.1,0.005198019801980199,1.05,60,0.272490325656608,0.0029899649909515416
0.1,0.005693069306930694,1.15,60,0.27237236046351493,0.002848169123133252
0.1,0.006435643564356437,1.3,60,0.2724398811772245,0.0029197277076690752
0.1,0.007425742574257427,1.5,60,0.2725098153598804,0.002707934873443315
0.1,0.009900990099009903,2.0,60,0.27213065046687474,0.0027553265522663913
0.1,0.0014851485148514854,0.3,120,0.27196433523177455,0.004102429175054476
0.1,0.0024752475247524757,0.5,120,0.27180296937876747,0.0041075100994648304
0.1,0.003465346534653466,0.7,120,0.27212099629997466,0.0037722109187157613
0.1,0.004207920792079208,0.8499999999999999,120,0.27219340397545194,0.004142317493772211
0.1,0.004702970297029704,0.95,120,0.2722631731638052,0.00405000822932951
0.1,0.005198019801980199,1.05,120,0.2721736889129653,0.004160757490418143
0.1,0.005693069306930694,1.15,120,0.2721045006666456,0.004510579134908634
0.1,0.006435643564356437,1.3,120,0.2723268250167147,0.004186689422806807
0.1,0.007425742574257427,1.5,120,0.27193583793968057,0.004415423274899127
0.1,0.009900990099009903,2.0,120,0.2727288138090614,0.00443163804458397
0.1,0.0014851485148514854,0.3,240,0.2712897973741824,0.005526127796899305
0.1,0.0024752475247524757,0.5,240,0.2722816564968023,0.005863616133194865
0.1,0.003465346534653466,0.7,240,0.27156949450437645,0.0056949675785587855
0.1,0.004207920792079208,0.8499999999999999,240,0.2728482143916569,0.006033397057308492
0.1,0.004702970297029704,0.95,240,0.2727553729166043,0.006227614305007941
0.1,0.005198019801980199,1.05,240,0.27235775336895446,0.005537605930660477
0.1,0.005693069306930694,1.15,240,0.2727574366144455,0.00581326138875919
0.1,0.006435643564356437,1.3,240,0.27306761363586163,0.006154239108896558
0.1,0.007425742574257427,1.5,240,0.2728306702522794,0.00607749838026666
0.1,0.009900990099009903,2.0,240,0.27247392159998046,0.005477672225206187
0.1,0.0014851485148514854,0.3,480,0.2706875965674005,0.008801085532339027
0.1,0.0024752475247524757,0.5,480,0.2712425601528372,0.008306121297167447
0.1,0.003465346534653466,0.7,480,0.2723768199059859,0.008069986218869408
0.1,0.004207920792079208,0.8499999999999999,480,0.2718003438820731,0.007954258090453819
0.1,0.004702970297029704,0.95,480,0.2722156677376208,0.00817679454154696
0.1,0.005198019801980199,1.05,480,0.2724532232565682,0.007118658566439134
0.1,0.005693069306930694,1.15,480,0.2732240884609352,0.007986596951642872
0.1,0.006435643564356437,1.3,480,0.27302777248799154,0.007681186503277072
0.1,0.007425742574257427,1.5,480,0.27405283268875946,0.007618868069102032
0.1,0.009900990099009903,2.0,480,0.27355544847337365,0.007636086991191447
