tau,xi,p_g,replicate_id,post_prob_kappa_gt_u0,post_mean_kappa
0.1,0.0014851485148514854,30,1,0.4986016237625419,0.49987647616868364
0.1,0.0014851485148514854,30,2,0.49955547411620327,0.5006724351540409
0.1,0.0014851485148514854,30,3,0.4995605888445279,0.500676698131964
0.1,0.0014851485148514854,30,4,0.4983731901955387,0.4996855746712355
0.1,0.0014851485148514854,30,5,0.4987228872531395,0.4999777718271716
0.1,0.0014851485148514854,30,6,0.4995175868067378,0.500640855480279
0.1,0.0014851485148514854,30,7,0.4993199374674196,0.5004760630997893
0.1,0.0014851485148514854,30,8,0.49792837050179994,0.4993135292962516
0.1,0.0014851485148514854,30,9,0.498962292946651,0.5001776661246062
0.1,0.0014851485148514854,30,10,0.49902945285751343,0.5002337205946311
0.1,0.0014851485148514854,30,11,0.498335053755864,0.49965369357711464
0.1,0.0014851485148514854,30,12,0.49929156961931714,0.5004524044047277
0.1,0.0014851485148514854,30,13,0.4988880918563221,0.5001157238851924
0.1,0.0014851485148514854,30,14,0.4982755778640139,0.4996039672252114
0.1,0.0014851485148514854,30,15,0.4989703392598734,0.5001843824087326
0.1,0.0014851485148514854,30,16,0.4990434553492221,0.5002454064777611
0.1,0.0014851485148514854,30,17,0.4984105381077858,0.49971679365338023
0.1,0.0014851485148514854,30,18,0.4989740203751121,0.5001874550028468
0.1,0.0014851485148514854,30,19,0.49880134790675523,0.5000432964959398
0.1,0.0014851485148514854,30,20,0.4999055682397301,0.5009641024735658
0.1,0.0014851485148514854,30,21,0.49898315119607883,0.5001950762961612
0.1,0.0014851485148514854,30,22,0.4994592941371408,0.5005922617704546
0.1,0.0014851485148514854,30,23,0.49966961501636165,0.5007675553111068
0.1,0.0014851485148514854,30,24,0.49941879309358317,0.5005584952769291
0.1,0.0014851485148514854,30,25,0.4983670816968577,0.49968046832445834
0.1,0.0014851485148514854,30,26,0.4988647704642488,0.5000962530839502
0.1,0.0014851485148514854,30,27,0.49861155648412325,0.49988477446845075
0.1,0.0014851485148514854,30,28,0.49912505259402173,0.5003134959474057
0.1,0.0014851485148514854,30,29,0.4981054490011205,0.49946168613045383
0.1,0.0014851485148514854,30,30,0.4984507024495324,0.49975036364997194
0.1,0.0014851485148514854,30,31,0.5003442505712099,0.5013292122328659
0.1,0.0014851485148514854,30,32,0.4984931356952218,0.4997858263971513
0.1,0.0014851485148514854,30,33,0.4995038409224092,0.5006293973276104
0.1,0.0014851485148514854,30,34,0.49867716904965714,0.49993958539014516
0.1,0.0014851485148514854,30,35,0.49962673186039086,0.5007318215052361
0.1,0.0014851485148514854,30,36,0.4984268787733613,0.49973045184570675
0.1,0.0014851485148514854,30,37,0.49878588619652064,0.5000303850046521
0.1,0.0014851485148514854,30,38,0.49830544857478504,0.4996289423192495
0.1,0.0014851485148514854,30,39,0.4986922670281952,0.4999521965583912
0.1,0.0014851485148514854,30,40,0.4991943585847778,0.5003713179994881
0.1,0.0014851485148514854,30,41,0.4997933082875243,0.5008706053174142
0.1,0.0014851485148514854,30,42,0.4992764561445534,0.5004397991304854
0.1,0.0014851485148514854,30,43,0.4991152213762626,0.5003052929436741
0.1,0.0014851485148514854,30,44,0.49826635428044724,0.4995962549537567
0.1,0.0014851485148514854,30,45,0.4985894796502447,0.499866330082573
0.1,0.0014851485148514854,30,46,0.499879297844515,0.5009422251929322
0.1,0.0014851485148514854,30,47,0.49823146087335063,0.499567077341908
0.1,0.0014851485148514854,30,48,0.4991942856800422,0.5003712571802533
0.1,0.0014851485148514854,30,49,0.4991227911349762,0.5003116090416004
0.1,0.0014851485148514854,30,50,0.49826432870314924,0.49959456124982216
0.1,0.0014851485148514854,30,51,0.49904067726209167,0.5002430880370126
0.1,0.0014851485148514854,30,52,0.4986726579154427,0.49993581719963703
0.1,0.0014851485148514854,30,53,0.49861214686359184,0.4998852676949759
0.1,0.0014851485148514854,30,54,0.4978538640034623,0.4992511723103427
0.1,0.0014851485148514854,30,55,0.49834231268097784,0.49965976208635704
0.1,0.0014851485148514854,30,56,0.49854226311459937,0.4998268790010719
0.1,0.0014851485148514854,30,57,0.4980567639232142,0.4994209591008153
0.1,0.0014851485148514854,30,58,0.4997567923200836,0.5008401868496382
0.1,0.0014851485148514854,30,59,0.498704936778244,0.49996277908989706
0.1,0.0014851485148514854,30,60,0.49941670875858024,0.5005567574345332
0.1,0.0014851485148514854,30,61,0.49874322089674267,0.4999947542448917
0.1,0.0014851485148514854,30,62,0.49783495987214216,0.49923534898283983
0.1,0.0014851485148514854,30,63,0.49870911508775645,0.4999662689902996
0.1,0.0014851485148514854,30,64,0.4982498452145915,0.4995824505081163
0.1,0.0014851485148514854,30,65,0.49865260330668637,0.4999190648951317
0.1,0.0014851485148514854,30,66,0.49897699350071617,0.500189936623744
0.1,0.0014851485148514854,30,67,0.49846038137478216,0.4997584529494903
0.1,0.0014851485148514854,30,68,0.49996237517715697,0.5010114048391459
0.1,0.0014851485148514854,30,69,0.499117234149248,0.5003069723841771
0.1,0.0014851485148514854,30,70,0.4992513606584028,0.500418867387745
0.1,0.0014851485148514854,30,71,0.4984290427910125,0.49973226057806874
0.1,0.0014851485148514854,30,72,0.4995859948155107,0.5006978724644349
0.1,0.0014851485148514854,30,73,0.49924790487597503,0.5004159848722789
0.1,0.0014851485148514854,30,74,0.4984558206800995,0.49975464130821895
0.1,0.0014851485148514854,30,75,0.4992492303503698,0.5004170904715701
0.1,0.0014851485148514854,30,76,0.4989375084262656,0.5001569775578112
0.1,0.0014851485148514854,30,77,0.49865232127447545,0.4999188292979696
0.1,0.0014851485148514854,30,78,0.49864523082823686,0.4999129062003454
0.1,0.0014851485148514854,30,79,0.49797199085950317,0.4993500313052769
0.1,0.0014851485148514854,30,80,0.49919220162468725,0.500369518596443
0.1,0.0014851485148514854,30,81,0.4993503708913876,0.5005014426146902
0.1,0.0014851485148514854,30,82,0.4990066783363919,0.5002147130782229
0.1,0.0014851485148514854,30,83,0.49863455303755805,0.49990398617033033
0.1,0.0014851485148514854,30,84,0.498266829948718,0.4995966526866523
0.1,0.0014851485148514854,30,85,0.49873392536206085,0.4999869908312631
0.1,0.0014851485148514854,30,86,0.4989764295443182,0.5001894658996752
0.1,0.0014851485148514854,30,87,0.4985995623586784,0.49987475394159964
0.1,0.0014851485148514854,30,88,0.49955173641448836,0.5006693198534158
0.1,0.0014851485148514854,30,89,0.49884089200294224,0.5000763160196913
0.1,0.0014851485148514854,30,90,0.49836548407550657,0.49967913279390685
0.1,0.0014851485148514854,30,91,0.49940992365937054,0.5005511002039285
0.1,0.0014851485148514854,30,92,0.4987237276062218,0.49997847369710313
0.1,0.0014851485148514854,30,93,0.49937163021065745,0.5005191703725763
0.1,0.0014851485148514854,30,94,0.49824913452582265,0.49958185623622214
0.1,0.0014851485148514854,30,95,0.4987218057747581,0.49997686856521234
0.1,0.0014851485148514854,30,96,0.49865986068665835,0.49992512733068495
0.1,0.0014851485148514854,30,97,0.49909565648648047,0.5002889677282967
0.1,0.0014851485148514854,30,98,0.4983536603447988,0.49966924858921746
0.1,0.0014851485148514854,30,99,0.4981848667568261,0.4995281117484528
0.1,0.0014851485148514854,30,100,0.49839308984406006,0.4997022090741101
0.1,0.0014851485148514854,30,101,0.49876308965526955,0.5000113475664114
0.1,0.0014851485148514854,30,102,0.4986326212643067,0.49990237237718377
0.1,0.0014851485148514854,30,103,0.49845090085323984,0.4997505294706449
0.1,0.0014851485148514854,30,104,0.49840928680569396,0.4997157477414135
0.1,0.0014851485148514854,30,105,0.4980399177969989,0.49940686549445706
0.1,0.0014851485148514854,30,106,0.4990112613793617,0.5002185381526923
0.1,0.0014851485148514854,30,107,0.49935862868158387,0.5005083287468913
0.1,0.0014851485148514854,30,108,0.4986195214910921,0.49989142869157316
0.1,0.0014851485148514854,30,109,0.4989431422426772,0.5001616804274097
0.1,0.0014851485148514854,30,110,0.498949478446626,0.5001669695413037
0.1,0.0014851485148514854,30,111,0.4985959766076459,0.4998717581575216
0.1,0.0014851485148514854,30,112,0.49896715113921475,0.5001817212900325
0.1,0.0014851485148514854,30,113,0.49897269916184017,0.5001863522011346
0.1,0.0014851485148514854,30,114,0.500342354014707,0.5013276346190074
0.1,0.0014851485148514854,30,115,0.49830584749912177,0.49962927584994626
0.1,0.0014851485148514854,30,116,0.4987713156891367,0.5000182172686416
0.1,0.0014851485148514854,30,117,0.4988538596356614,0.5000871433521007
0.1,0.0014851485148514854,30,118,0.49921946648211357,0.5003922630740159
0.1,0.0014851485148514854,30,119,0.4984040123163706,0.4997113389769728
0.1,0.0014851485148514854,30,120,0.4984214796578011,0.4997259391067828
0.1,0.0014851485148514854,30,121,0.4987309139468276,0.49998447572904486
0.1,0.0014851485148514854,30,122,0.49860024450045803,0.49987532384693556
0.1,0.0014851485148514854,30,123,0.4979420182213061,0.4993249502856331
0.1,0.0014851485148514854,30,124,0.49947614971749754,0.5006063135821763
0.1,0.0014851485148514854,30,125,0.4987763494333235,0.5000224209655664
0.1,0.0014851485148514854,30,126,0.498977123278417,0.5001900449467187
0.1,0.0014851485148514854,30,127,0.49877684973087966,0.5000228387628842
0.1,0.0014851485148514854,30,128,0.49884809167474353,0.5000823274329664
0.1,0.0014851485148514854,30,129,0.49963857781602145,0.5007416929224616
0.1,0.0014851485148514854,30,130,0.49888730417914035,0.5001150662796965
0.1,0.0014851485148514854,30,131,0.49848251103473873,0.49977694739753986
0.1,0.0014851485148514854,30,132,0.49890471393810976,0.5001296008079354
0.1,0.0014851485148514854,30,133,0.4978263706218712,0.49922815927737163
0.1,0.0014851485148514854,30,134,0.49897641943957316,0.5001894574654236
0.1,0.0014851485148514854,30,135,0.49849443133865695,0.49978690914679186
0.1,0.0014851485148514854,30,136,0.49873098998118764,0.4999845392323717
0.1,0.0014851485148514854,30,137,0.49863715635822825,0.4999061609583781
0.1,0.0014851485148514854,30,138,0.4988589516587013,0.5000913948441006
0.1,0.0014851485148514854,30,139,0.4993361092206336,0.5004895495403296
0.1,0.0014851485148514854,30,140,0.4984978857811788,0.49978979595518425
0.1,0.0014851485148514854,30,141,0.49857039832081634,0.4998503875157519
0.1,0.0014851485148514854,30,142,0.49811632246353715,0.49947078154941627
0.1,0.0014851485148514854,30,143,0.49890074610469,0.500126288319706
0.1,0.0014851485148514854,30,144,0.4977246132489032,0.49914297078859593
0.1,0.0014851485148514854,30,145,0.49761065941992266,0.4990475463572062
0.1,0.0014851485148514854,30,146,0.4980939138190103,0.4994520369294494
0.1,0.0014851485148514854,30,147,0.49835154204700316,0.4996674777394275
0.1,0.0014851485148514854,30,148,0.49851698728392396,0.4998057582512371
0.1,0.0014851485148514854,30,149,0.4987293920458936,0.49998320464628204
0.1,0.0014851485148514854,30,150,0.49930101452289,0.5004602816103929
0.1,0.0014851485148514854,30,151,0.49872427366818944,0.49997892977184505
0.1,0.0014851485148514854,30,152,0.4992814893147124,0.5004439970591329
0.1,0.0014851485148514854,30,153,0.49809092896837814,0.49944954005154196
0.1,0.0014851485148514854,30,154,0.49873184145730687,0.4999852503780151
0.1,0.0014851485148514854,30,155,0.4995092887717211,0.500633938536849
0.1,0.0014851485148514854,30,156,0.49909006996794775,0.5002843061135576
0.1,0.0014851485148514854,30,157,0.49964620881469896,0.5007480517961339
0.1,0.0014851485148514854,30,158,0.4982811445101582,0.49960862167419473
0.1,0.0014851485148514854,30,159,0.49786250708700625,0.4992584065854667
0.1,0.0014851485148514854,30,160,0.4989365989421298,0.5001562183530666
0.1,0.0014851485148514854,30,161,0.49866444420897504,0.49992895610908583
0.1,0.0014851485148514854,30,162,0.49903343137431144,0.5002370409367642
0.1,0.0014851485148514854,30,163,0.4994393219006044,0.5005756109626818
0.1,0.0014851485148514854,30,164,0.4990008719817438,0.5002098669472557
0.1,0.0014851485148514854,30,165,0.49804528214292,0.49941135341369153
0.1,0.0014851485148514854,30,166,0.4990181758381104,0.5002243089780727
0.1,0.0014851485148514854,30,167,0.4983986287417048,0.49970683897233925
0.1,0.0014851485148514854,30,168,0.4975668683558159,0.4990108687785167
0.1,0.0014851485148514854,30,169,0.4988616645410522,0.5000936598938592
0.1,0.0014851485148514854,30,170,0.49824774702286057,0.4995806960150486
0.1,0.0014851485148514854,30,171,0.49800732854254587,0.499379599391205
0.1,0.0014851485148514854,30,172,0.49756542642076296,0.499009661006177
0.1,0.0014851485148514854,30,173,0.4981153149654887,0.4994699388091205
0.1,0.0014851485148514854,30,174,0.4984277990797634,0.4997312210587215
0.1,0.0014851485148514854,30,175,0.4994352656500923,0.5005722291743655
0.1,0.0014851485148514854,30,176,0.5007874221610897,0.5016976494655014
0.1,0.0014851485148514854,30,177,0.4991473442816157,0.5003320950136817
0.1,0.0014851485148514854,30,178,0.4986199398239635,0.4998917781766745
0.1,0.0014851485148514854,30,179,0.4974800697754553,0.4989381581844081
0.1,0.0014851485148514854,30,180,0.49876196519637295,0.5000104085005428
0.1,0.0014851485148514854,30,181,0.4980490432301653,0.49941449997907966
0.1,0.0014851485148514854,30,182,0.49749068204352875,0.4989470488455179
0.1,0.0014851485148514854,30,183,0.49812611631240666,0.4994789736851116
0.1,0.0014851485148514854,30,184,0.49898609199760324,0.5001975308809132
0.1,0.0014851485148514854,30,185,0.4981772301184553,0.4995217249734973
0.1,0.0014851485148514854,30,186,0.4983100620352983,0.4996327994984631
0.1,0.0014851485148514854,30,187,0.4986641665546554,0.49992872417584794
0.1,0.0014851485148514854,30,188,0.49897993030935234,0.5001923879133944
0.1,0.0014851485148514854,30,189,0.4985949190551469,0.4998708746000225
0.1,0.0014851485148514854,30,190,0.4990737019849951,0.5002706476393602
0.1,0.0014851485148514854,30,191,0.4976030277099135,0.49904115463849263
0.1,0.0014851485148514854,30,192,0.4984099100516632,0.4997162686874981
0.1,0.0014851485148514854,30,193,0.498723574936901,0.499978346186517
0.1,0.0014851485148514854,30,194,0.4995886214818776,0.5007000615544048
0.1,0.0014851485148514854,30,195,0.4980580791797912,0.49942205943044926
0.1,0.0014851485148514854,30,196,0.4989624403833465,0.5001777891917121
0.1,0.0014851485148514854,30,197,0.4991830965235975,0.5003619227318149
0.1,0.0014851485148514854,30,198,0.4992815350133267,0.5004440351739392
0.1,0.0014851485148514854,30,199,0.4991110107706228,0.500301779623202
0.1,0.0014851485148514854,30,200,0.4983451637517072,0.4996621455703976
0.1,0.0024752475247524757,30,1,0.49838282303622766,0.49969362700408754
0.1,0.0024752475247524757,30,2,0.49880247090683427,0.5000442342516163
0.1,0.0024752475247524757,30,3,0.49918026423803924,0.500359559882912
0.1,0.0024752475247524757,30,4,0.4995820613904157,0.500694594281789
0.1,0.0024752475247524757,30,5,0.498637188016448,0.4999061874052515
0.1,0.0024752475247524757,30,6,0.4984906912998692,0.4997837836434072
0.1,0.0024752475247524757,30,7,0.4991893822755209,0.5003671665932705
0.1,0.0024752475247524757,30,8,0.49776941112026907,0.4991804769786589
0.1,0.0024752475247524757,30,9,0.49826589195840937,0.49959586837994474
0.1,0.0024752475247524757,30,10,0.49870479009918794,0.49996265657670175
0.1,0.0024752475247524757,30,11,0.4988076414373692,0.5000485518438232
0.1,0.0024752475247524757,30,12,0.49813762199317896,0.4994885974411911
0.1,0.0024752475247524757,30,13,0.49802886856343453,0.49939762129663556
0.1,0.0024752475247524757,30,14,0.4995634501189676,0.5006790828975445
0.1,0.0024752475247524757,30,15,0.49982840791529115,0.5008998413247181
0.1,0.0024752475247524757,30,16,0.4986297128048791,0.4998999426509615
0.1,0.0024752475247524757,30,17,0.49837452394994186,0.49968668960143126
0.1,0.0024752475247524757,30,18,0.49883572885753213,0.500072004951173
0.1,0.0024752475247524757,30,19,0.4984886802117294,0.49978210299033843
0.1,0.0024752475247524757,30,20,0.49879648501428786,0.5000392357313285
0.1,0.0024752475247524757,30,21,0.4986330176208761,0.4999027034919951
0.1,0.0024752475247524757,30,22,0.49819790237956074,0.4995390135946581
0.1,0.0024752475247524757,30,23,0.4984641516065168,0.4997616039217192
0.1,0.0024752475247524757,30,24,0.49809094834350287,0.49944955625922016
0.1,0.0024752475247524757,30,25,0.49884780925448124,0.5000820916263431
0.1,0.0024752475247524757,30,26,0.4992775771355003,0.5004407341004639
0.1,0.0024752475247524757,30,27,0.4981683557965558,0.49951430293081783
0.1,0.0024752475247524757,30,28,0.49793665889681604,0.4993204654219999
0.1,0.0024752475247524757,30,29,0.4984401838710071,0.4997415723779162
0.1,0.0024752475247524757,30,30,0.4985695629769398,0.4998496895635934
0.1,0.0024752475247524757,30,31,0.4985456179556097,0.4998296822418186
0.1,0.0024752475247524757,30,32,0.498224886042873,0.49956157923423145
0.1,0.0024752475247524757,30,33,0.4982195788611308,0.49955714111429006
0.1,0.0024752475247524757,30,34,0.4986204628253737,0.4998922151038193
0.1,0.0024752475247524757,30,35,0.49856088118337644,0.49984243560703767
0.1,0.0024752475247524757,30,36,0.4998758352049721,0.5009393414920762
0.1,0.0024752475247524757,30,37,0.4976260545536052,0.49906043974146086
0.1,0.0024752475247524757,30,38,0.4985431310197797,0.49982760420821964
0.1,0.0024752475247524757,30,39,0.4991362072339294,0.5003228029488574
0.1,0.0024752475247524757,30,40,0.4987526842539667,0.5000026576355944
0.1,0.0024752475247524757,30,41,0.4982051816642281,0.499545101193737
0.1,0.0024752475247524757,30,42,0.4983949392124778,0.4997037549461052
0.1,0.0024752475247524757,30,43,0.4972221772367413,0.49872203159414263
0.1,0.0024752475247524757,30,44,0.4989521778210836,0.5001692228049895
0.1,0.0024752475247524757,30,45,0.4987737481031239,0.5000202485924252
0.1,0.0024752475247524757,30,46,0.4983221805391661,0.4996429312144365
0.1,0.0024752475247524757,30,47,0.49813085098156956,0.49948293396212906
0.1,0.0024752475247524757,30,48,0.4984209990970222,0.4997255374370779
0.1,0.0024752475247524757,30,49,0.4977410438882127,0.49915672751950857
0.1,0.0024752475247524757,30,50,0.49950471188950674,0.5006301233510815
0.1,0.0024752475247524757,30,51,0.5002471591262382,0.5012484389230102
0.1,0.0024752475247524757,30,52,0.49943054625215755,0.5005682944618003
0.1,0.0024752475247524757,30,53,0.49835744576270463,0.4996724130911292
0.1,0.0024752475247524757,30,54,0.4983041253872025,0.49962783603272376
0.1,0.0024752475247524757,30,55,0.49881188571413526,0.5000520959369272
0.1,0.0024752475247524757,30,56,0.498850270435814,0.5000841465826025
0.1,0.0024752475247524757,30,57,0.4990907368158351,0.5002848625615477
0.1,0.0024752475247524757,30,58,0.4989406932039906,0.5001596360825009
0.1,0.0024752475247524757,30,59,0.49908985156934665,0.5002841238717015
0.1,0.0024752475247524757,30,60,0.4981813962507708,0.49952520926365446
0.1,0.0024752475247524757,30,61,0.4985355523945614,0.49982127158213663
0.1,0.0024752475247524757,30,62,0.49989772390205817,0.5009575700704478
0.1,0.0024752475247524757,30,63,0.4978818965297022,0.49927463501871805
0.1,0.0024752475247524757,30,64,0.4990221185586784,0.5002275995384624
0.1,0.0024752475247524757,30,65,0.4994098360392323,0.5005510271480202
0.1,0.0024752475247524757,30,66,0.4988628952871672,0.5000946874679099
0.1,0.0024752475247524757,30,67,0.49824572281205304,0.4995790033756585
0.1,0.0024752475247524757,30,68,0.49844335184920774,0.49974422015130315
0.1,0.0024752475247524757,30,69,0.49825349623286513,0.49958550344199226
0.1,0.0024752475247524757,30,70,0.4984010422190339,0.4997088563492416
0.1,0.0024752475247524757,30,71,0.49781233480355747,0.4992164101471387
0.1,0.0024752475247524757,30,72,0.4987603445168647,0.5000090550228731
0.1,0.0024752475247524757,30,73,0.499928315321695,0.500983044469054
0.1,0.0024752475247524757,30,74,0.49851178773344834,0.4998014132877771
0.1,0.0024752475247524757,30,75,0.49863080135660387,0.49990085202883583
0.1,0.0024752475247524757,30,76,0.4989298271209577,0.5001505654254927
0.1,0.0024752475247524757,30,77,0.4992735046558388,0.5004373374091142
0.1,0.0024752475247524757,30,78,0.4983909415199439,0.4997004132985762
0.1,0.0024752475247524757,30,79,0.498982715924862,0.5001947129888871
0.1,0.0024752475247524757,30,80,0.498139113169037,0.4994898446930558
0.1,0.0024752475247524757,30,81,0.49964155928374426,0.5007441773793126
0.1,0.0024752475247524757,30,82,0.49915138901535794,0.5003354696258294
0.1,0.0024752475247524757,30,83,0.49803473398918197,0.49940252856041545
0.1,0.0024752475247524757,30,84,0.49939599259520717,0.5005394845620013
0.1,0.0024752475247524757,30,85,0.49796926557126675,0.49934775086855365
0.1,0.0024752475247524757,30,86,0.4991912263675007,0.5003687050034527
0.1,0.0024752475247524757,30,87,0.4989081124617211,0.5001324379900973
0.1,0.0024752475247524757,30,88,0.49902604141770834,0.5002308734904917
0.1,0.0024752475247524757,30,89,0.4993337377302844,0.5004875718690223
0.1,0.0024752475247524757,30,90,0.4998535988199181,0.5009208223399011
0.1,0.0024752475247524757,30,91,0.4983888862140154,0.49969869526761423
0.1,0.0024752475247524757,30,92,0.4984273912947943,0.49973088022298967
0.1,0.0024752475247524757,30,93,0.49818047408360633,0.4995244380243319
0.1,0.0024752475247524757,30,94,0.4975722754678814,0.49901539776561243
0.1,0.0024752475247524757,30,95,0.49835337542196906,0.49966901040061773
0.1,0.0024752475247524757,30,96,0.4990665673825754,0.5002646939040258
0.1,0.0024752475247524757,30,97,0.4984569512834901,0.4997555862241124
0.1,0.0024752475247524757,30,98,0.4990470191691309,0.5002483806249335
0.1,0.0024752475247524757,30,99,0.49926204708121835,0.5004277809220574
0.1,0.0024752475247524757,30,100,0.49912190101677645,0.5003108663459486
0.1,0.0024752475247524757,30,101,0.4983963434086851,0.4997049286975387
0.1,0.0024752475247524757,30,102,0.49867388968257426,0.49993684610986544
0.1,0.0024752475247524757,30,103,0.499039203982491,0.5002418585112995
0.1,0.0024752475247524757,30,104,0.498884700786499,0.5001128927845431
0.1,0.0024752475247524757,30,105,0.498768816197863,0.5000161299153997
0.1,0.0024752475247524757,30,106,0.4988150168490941,0.5000547105006288
0.1,0.0024752475247524757,30,107,0.49795226358111344,0.4993335237831319
0.1,0.0024752475247524757,30,108,0.4995280458833606,0.5006495735857235
0.1,0.0024752475247524757,30,109,0.498211039914292,0.4995500003148624
0.1,0.0024752475247524757,30,110,0.49882500837432825,0.5000630534986004
0.1,0.0024752475247524757,30,111,0.497936635548597,0.49932044588329205
0.1,0.0024752475247524757,30,112,0.49827557347531004,0.4996039635556519
0.1,0.0024752475247524757,30,113,0.49880449808008204,0.5000459270260019
0.1,0.0024752475247524757,30,114,0.4986344151345784,0.49990387096716804
0.1,0.0024752475247524757,30,115,0.4986055505133383,0.49987975680009133
0.1,0.0024752475247524757,30,116,0.4984344847549673,0.49973680904532025
0.1,0.0024752475247524757,30,117,0.49840145399399594,0.4997092005424004
0.1,0.0024752475247524757,30,118,0.49883541987243096,0.5000717469563057
0.1,0.0024752475247524757,30,119,0.5000888616404824,0.5011167041811259
0.1,0.0024752475247524757,30,120,0.4980385067617193,0.4994056849841857
