p0_true,p,n,replicate_id,variant,method_type,status,converged,fit_attempts,tau0_oracle,tau_post_mean,tau_ratio_to_oracle,kappa_null_mean,kappa_signal_mean,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error,mse_overall,mse_signal,mse_null
5,50,100,1,calibrated,GR_RHS,ok,True,1,0.01111111111111111,0.19413427001610398,17.47208430144936,0.2662490479755908,0.7679960460662842,45.38082510000095,1.0105466156752214,307.4272384104195,,,0.0006040058751589969,0.004060076101230354,0.00021999807226217967
5,50,100,1,fixed_10x,GR_RHS,ok,True,1,0.01111111111111111,0.2415775097385049,21.741975876465442,0.25506987819009047,0.7714186027497054,42.411398800002644,1.0132516624832704,182.65194064659212,,,0.0005961887796942405,0.0035144306046164344,0.0002719396880362188
5,50,100,1,RHS_oracle,RHS,error,False,1,0.01111111111111111,,,,,8.804906199999095,1.0453947819607243,178.63953377011083,0.0,ConvergenceError: RHS did not converge after 1 attempt(s),,,
