scenario,replicate_id,variant,group_sizes,group_signal,group_amplitude,status,converged,fit_attempts,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error,mse_null,mse_signal,mse_overall,group_auroc
moderate_group_amplitude,1,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,24.81807910000498,1.0102590322494507,502.8638398632519,0.00375,,0.0005965624376717233,0.008835608421816172,0.005539990028158394,1.0
moderate_group_amplitude,2,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,32.269137299997965,1.0104597806930542,560.8959936404965,0.0071875,,0.011995022639932375,0.014787282877076093,0.013670378782218606,1.0
moderate_group_amplitude,2,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,29.91357710000011,1.0058624744415283,593.0153100537048,0.0028125,,0.012007067528145149,0.014600388995978644,0.013563060408845246,1.0
moderate_group_amplitude,3,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,35.62263969999913,1.009717583656311,603.2923407788188,0.0021875,,0.0014913429755282468,0.009033517849195562,0.006016647899728636,1.0
moderate_group_amplitude,3,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,31.421310399993672,1.004442572593689,574.2647027607607,0.0009375,,0.001498688323400763,0.008878979997348813,0.005926863327769594,1.0
moderate_group_amplitude,4,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,59.904250599996885,1.0068596601486206,628.0365274070191,0.004375,,0.0007983595467370694,0.014123279922156791,0.008793311771988901,1.0
moderate_group_amplitude,4,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,27.77676119998796,1.0055460929870605,647.4276092988497,0.0003125,,0.0008247638794447856,0.014296326144584827,0.008907701238528812,1.0
moderate_group_amplitude,5,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,27.72926209999423,1.007232666015625,536.5026748852403,0.001875,,0.0004417947980611546,0.018522322208080425,0.011290111244072719,1.0
moderate_group_amplitude,5,no_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,30.84584470000118,1.0039197206497192,523.4381681036499,0.0009375,,0.0004606537478434392,0.01868108191568719,0.01139291064854969,1.0
moderate_group_amplitude,6,with_ag,"[10, 10, 10, 10, 10]","[0.0, 0.0, 1.5, 4.0, 10.0]","[1.0, 1.0, 0.8, 1.1, 1.4]",ok,True,1,36.81903889999376,1.0096465349197388,571.5414333779288,0.0053125,,0.0011686540574379956,0.026742373717971158,0.016512885853757896,1.0
