scenario,variant,n_runs,n_converged,convergence_rate,mse_overall_mean_converged,mse_signal_mean_converged,mse_null_mean_converged,group_auroc_mean_converged,runtime_mean_all
moderate_group_amplitude,with_ag,8,8,1.0,0.011085028366658142,0.016632655240034114,0.0027635880565941837,1.0,36.42123548749623
moderate_group_amplitude,no_ag,8,8,1.0,0.011022960371749477,0.01653613630876662,0.0027531964662237587,1.0,28.66428774999804
no_group_amplitude,with_ag,8,4,0.5,0.01171812638989418,0.018963373268053252,0.0008502560726555692,1.0,20.981701750000866
no_group_amplitude,no_ag,8,7,0.875,0.010581487723952303,0.017175128709448404,0.0006910262457081584,1.0,20.934014512495196
strong_group_amplitude,with_ag,8,8,1.0,0.01181618469493152,0.018462774794774324,0.0018462995451673167,1.0,36.483935962500254
strong_group_amplitude,no_ag,8,7,0.875,0.012184540517142028,0.01904567028525194,0.0018928458649771648,1.0,28.743794587502634
