prior_name,m_eff
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
fixed_tau0,0.11999264863122196
