setting_id,signal,design_type,rho_within,target_snr,sigma2,replicate_id,method,status,converged,fit_attempts,kappa_null_mean,kappa_signal_mean,runtime_seconds,rhat_max,bulk_ess_min,divergence_ratio,error,mse_null,mse_signal,mse_overall,avg_ci_length,coverage_95,lpd_test,probe_cfg
1,concentrated,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,False,1,,,0.05066949999309145,,18.16468348573705,,,0.0013469810324351222,0.014137818000956075,0.006463315819843503,0.3273094335020229,1.0,-1.3401095174940145,c1_w250_d250
1,concentrated,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,False,1,,,0.049586199995246716,,20.191935670345284,,,0.0013316063299686103,0.01884504586308101,0.00833698214321357,0.3322032907395493,0.96,-1.4690701608289836,c1_w250_d250
1,concentrated,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,False,1,,,0.04962119999981951,,14.091595363502108,,,0.0039479700368276515,0.01680809409391776,0.009092019659663695,0.3628373096295203,1.0,-1.6540066706458378,c1_w250_d250
1,concentrated,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,False,1,,,0.05005890000029467,,11.47894408602741,,,0.0039917744612735905,0.019350148822066683,0.010135124205590826,0.33063006029825126,0.96,-1.7131759500637198,c1_w250_d250
1,concentrated,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,False,1,,,0.049861400009831414,,17.282573831317674,,,0.00046944676556124004,0.013711460168368314,0.005766252126684069,0.31250935055165935,1.0,-1.4328595064844718,c1_w250_d250
2,distributed,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,False,1,,,0.049961400000029244,,14.796806211473505,,,0.0006877018884286304,0.0019258553366374809,0.0007867541642853386,0.23202114495447904,1.0,-1.3401882990208904,c1_w250_d250
2,distributed,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,False,1,,,0.050026400000206195,,17.10488223313317,,,9.955035529125171e-05,0.015216416495991748,0.0013088996465472913,0.16705867547861517,1.0,-1.532149631352685,c1_w250_d250
2,distributed,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,False,1,,,0.050010800012387335,,14.600036451341241,,,0.0012800393195853323,0.012636669976877976,0.0021885697721687435,0.24372518455083284,1.0,-1.38594053733814,c1_w250_d250
2,distributed,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,False,1,,,0.05017440000665374,,14.769865329614921,,,0.00021731190525517638,0.006971302607099932,0.0007576311614027568,0.19497053050639224,1.0,-1.8598336541784406,c1_w250_d250
2,distributed,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,False,1,,,0.050089199998183176,,22.717551065064118,,,0.00017989094012468756,0.014357066064162241,0.001314064950047692,0.18361603603106097,1.0,-1.3627682147575115,c1_w250_d250
1,concentrated,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,False,1,,,0.2006396000069799,1.0478580578662855,74.93770522071866,,,0.0014527072823493,0.014061333112508873,0.0064961576144131295,0.3447130212830631,0.96,-1.3362099241537813,c2_w500_d500
1,concentrated,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,False,1,,,0.20070620000478812,1.0688011976245693,65.45304915825076,,,0.0011980353094513993,0.019283530497964746,0.008432233384856738,0.3404953264843536,0.96,-1.4700001344139069,c2_w500_d500
1,concentrated,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,False,1,,,0.19305410000379197,1.0400621842251794,67.96090005950629,,,0.003379467899539965,0.015197873944208785,0.008106830317407493,0.356008163984284,0.96,-1.6357702455269538,c2_w500_d500
1,concentrated,orthonormal,0.0,2.0,1.0,4,GHS_plus,ok,False,1,,,0.19900300000153948,1.0771683040574793,79.12330621447282,,,0.003778747147944173,0.01890717707727477,0.009830119119676415,0.31747942770632764,0.96,-1.7108231259707936,c2_w500_d500
1,concentrated,orthonormal,0.0,2.0,1.0,5,GHS_plus,ok,False,1,,,0.19499740000173915,1.1140120753962168,76.7907805104916,,,0.0003625551965652796,0.013697763684638159,0.0056966385917944316,0.3208495027125063,0.96,-1.4586414168507424,c2_w500_d500
2,distributed,orthonormal,0.0,2.0,1.0,1,GHS_plus,ok,False,1,,,0.19921920000342652,1.050686444898661,65.4367655308108,,,0.00034120261304561794,0.001279634684034537,0.0004162771787247315,0.21734940868030544,1.0,-1.3329129879744421,c2_w500_d500
2,distributed,orthonormal,0.0,2.0,1.0,2,GHS_plus,ok,False,1,,,0.21559710000292398,1.0649851423072256,66.16195030647981,,,0.00012327988581453184,0.0144222300906734,0.0012671959022032414,0.18784577374403444,1.0,-1.5325581695322796,c2_w500_d500
2,distributed,orthonormal,0.0,2.0,1.0,3,GHS_plus,ok,False,1,,,0.20872599999711383,1.0326270888052167,56.67902416207451,,,0.0009608547072661818,0.012604853512039521,0.0018923746116480489,0.2575264147525341,1.0,-1.3817291588628198,c2_w500_d500
