probe_cfg,n,runtime_median,beta_pass_rate,group_pass_rate,both_pass_rate,beta_ess_median,group_ess_median,beta_rhat_median,group_rhat_median
c2_w500_d500,10,0.19680014999903506,0.0,0.0,0.0,134.53516400258522,67.06142518299305,1.031026304762975,1.0509654309712873
c4_w1500_d1500,10,1.2383073000091827,0.9,0.0,0.0,770.0409688650307,349.6097384309712,1.005172439853868,1.0143691969473099
c4_w2500_d2500,10,2.0535596999980044,1.0,0.5,0.5,1229.1601514184608,526.2846780266773,1.0042359215670476,1.0099837311962425
